feature_set,n_features,model,calibration,Delta,mean,mean_err
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.126,0.990556823644185,0.000345637666291143
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.124,0.988391740733409,0.000427591359038754
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.122,0.986706391858053,0.000648371000570303
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.12,0.984048419536346,0.000947696268513723
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.118,0.977111243284335,0.00183470920346209
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.116,0.973658796123438,0.00174996634361032
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.114,0.0313678423438075,0.00455272831096627
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.112,0.0332312794780085,0.00671219163167976
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.11,0.0269128285770485,0.00236722349032399
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.108,0.0249012158974548,0.00419505187159418
20,20,kNN,calibrated,-0.128,0.999750124936284,2.20931592377709E-15
20,20,kNN,calibrated,-0.126,0.999750124936284,2.20931592377709E-15
20,20,kNN,calibrated,-0.124,0.999750124936295,1.09344286978131E-15
20,20,kNN,calibrated,-0.122,0.999750124936284,2.20931592377709E-15
20,20,kNN,calibrated,-0.12,0.999750124936295,2.16422309957864E-15
20,20,kNN,calibrated,-0.118,0.999750124936295,1.08779196440841E-15
20,20,kNN,calibrated,-0.116,0.999750124936284,2.20931592377709E-15
20,20,kNN,calibrated,-0.114,0.00083180844596262,3.01634319588546E-18
20,20,kNN,calibrated,-0.112,0.000844278442613358,1.24699966507261E-05
20,20,kNN,calibrated,-0.11,0.000831808445962619,3.153519019755E-18
20,20,kNN,calibrated,-0.108,0.000831808445962619,3.153519019755E-18
20,20,kNN,uncalibrated,-0.128,1,0
20,20,kNN,uncalibrated,-0.126,1,0
20,20,kNN,uncalibrated,-0.124,1,0
20,20,kNN,uncalibrated,-0.122,1,0
20,20,kNN,uncalibrated,-0.12,1,0
20,20,kNN,uncalibrated,-0.118,1,0
20,20,kNN,uncalibrated,-0.116,1,0
20,20,kNN,uncalibrated,-0.114,0,0
20,20,kNN,uncalibrated,-0.112,1.33689839572193E-05,1.33689839572192E-05
20,20,kNN,uncalibrated,-0.11,0,0
20,20,kNN,uncalibrated,-0.108,0,0
20,20,SVM (RBF),calibrated,-0.128,0.999766168278248,1.52977075241124E-06
20,20,SVM (RBF),calibrated,-0.126,0.999703524883814,1.91681121384892E-06
20,20,SVM (RBF),calibrated,-0.124,0.999659440783944,3.89418626064989E-06
20,20,SVM (RBF),calibrated,-0.122,0.999580021781937,8.38387941755642E-06
20,20,SVM (RBF),calibrated,-0.12,0.999486313977306,1.63398957020923E-05
20,20,SVM (RBF),calibrated,-0.118,0.999343453507983,3.40545185474621E-05
20,20,SVM (RBF),calibrated,-0.116,0.999371503199003,2.48773460727603E-05
20,20,SVM (RBF),calibrated,-0.114,0.00106430902568702,0.000277149140929503
20,20,SVM (RBF),calibrated,-0.112,0.0024673168674124,0.00153543142985021
20,20,SVM (RBF),calibrated,-0.11,0.00096845203190006,0.000269322004493346
20,20,SVM (RBF),calibrated,-0.108,0.000724724778289583,0.000106682500259868
20,20,SVM (RBF),uncalibrated,-0.128,0.776317507582823,0.000203550228550217
