feature_set,n_features,model,calibration,Delta,chi,chi_err
30,30,Neural Network,calibrated,-0.126,-4.32645340539037E-30,2.90473826591665E-46
30,30,Neural Network,calibrated,-0.124,-7.56826378596103E-30,2.80396505024865E-46
30,30,Neural Network,calibrated,-0.122,-2.46524063984903E-30,1.79220660455965E-46
30,30,Neural Network,calibrated,-0.12,-3.05691369427476E-30,1.9947557162169E-46
30,30,Neural Network,calibrated,-0.118,-1.3928806230776E-30,2.02457434589597E-46
30,30,Neural Network,calibrated,-0.116,-2.46524063984903E-30,1.79220660455965E-46
30,30,Neural Network,calibrated,-0.114,0.00010105818019485,0.000100724985349461
30,30,Neural Network,calibrated,-0.112,0.000795439703822458,0.00078703835588477
30,30,Neural Network,calibrated,-0.11,-4.46703139847951E-37,4.82696138833994E-53
30,30,Neural Network,calibrated,-0.108,-4.46703139847951E-37,4.82696138833994E-53
30,30,Neural Network,uncalibrated,-0.128,0,0
30,30,Neural Network,uncalibrated,-0.126,0,0
30,30,Neural Network,uncalibrated,-0.124,0,0
30,30,Neural Network,uncalibrated,-0.122,0,0
30,30,Neural Network,uncalibrated,-0.12,0,0
30,30,Neural Network,uncalibrated,-0.118,0,0
30,30,Neural Network,uncalibrated,-0.116,0,0
30,30,Neural Network,uncalibrated,-0.114,0,0
30,30,Neural Network,uncalibrated,-0.112,0,0
30,30,Neural Network,uncalibrated,-0.11,0,0
30,30,Neural Network,uncalibrated,-0.108,0,0
20,20,Logistic Regression,calibrated,-0.128,3.2136414680106E-09,8.85942111875404E-11
20,20,Logistic Regression,calibrated,-0.126,3.60329744832519E-09,1.30288459891748E-10
20,20,Logistic Regression,calibrated,-0.124,5.11092326296283E-09,2.89622545305857E-10
20,20,Logistic Regression,calibrated,-0.122,9.39261885098922E-09,5.57282763839485E-10
20,20,Logistic Regression,calibrated,-0.12,1.33827536539591E-08,7.4988590641266E-10
20,20,Logistic Regression,calibrated,-0.118,1.73591853951513E-08,6.99267062547541E-10
20,20,Logistic Regression,calibrated,-0.116,1.98197907564832E-08,1.2101018446849E-09
20,20,Logistic Regression,calibrated,-0.114,0.000230683742202683,0.000204143608932707
20,20,Logistic Regression,calibrated,-0.112,0.00163446009710319,0.00137203255951677
20,20,Logistic Regression,calibrated,-0.11,2.79969724258206E-05,1.87783249930247E-05
20,20,Logistic Regression,calibrated,-0.108,2.72454268309539E-05,1.91074723159246E-05
20,20,Logistic Regression,uncalibrated,-0.128,2.26060226925809E-18,1.4563221418365E-19
20,20,Logistic Regression,uncalibrated,-0.126,1.1688002292322E-18,1.14596594239833E-19
20,20,Logistic Regression,uncalibrated,-0.124,3.1369066800449E-18,3.05970703702559E-19
20,20,Logistic Regression,uncalibrated,-0.122,1.77932154018008E-17,2.23846126748631E-18
20,20,Logistic Regression,uncalibrated,-0.12,4.50404630338885E-17,4.53448769261354E-18
20,20,Logistic Regression,uncalibrated,-0.118,9.51187698416411E-17,9.73466792873072E-18
20,20,Logistic Regression,uncalibrated,-0.116,2.04474657455094E-16,2.92497073700454E-17
20,20,Logistic Regression,uncalibrated,-0.114,5.9939105475446E-11,5.97758009868984E-11
20,20,Logistic Regression,uncalibrated,-0.112,2.18466124418783E-08,2.15828014339525E-08
20,20,Logistic Regression,uncalibrated,-0.11,2.2500390733552E-14,2.23258460160861E-14
20,20,Logistic Regression,uncalibrated,-0.108,4.62881699619364E-14,4.56080615341474E-14
20,20,Logistic Regression C = 0.00175,calibrated,-0.128,2.92630907189861E-09,8.067948293672E-11
20,20,Logistic Regression C = 0.00175,calibrated,-0.126,3.39348420545944E-09,1.22223097118035E-10
20,20,Logistic Regression C = 0.00175,calibrated,-0.124,4.80645724753295E-09,2.71760699546721E-10
