feature_set,n_features,model,calibration,Delta,chi,chi_err
30,30,Neural Network,calibrated,-0.11,5.66403427187984E-12,4.026718973025E-12
30,30,Neural Network,calibrated,-0.108,1.86523547223676E-12,1.27858461157874E-12
30,30,Neural Network,uncalibrated,-0.128,6.67115257737496E-10,5.76418216966247E-10
30,30,Neural Network,uncalibrated,-0.126,1.42936330801325E-09,1.02723985960061E-09
30,30,Neural Network,uncalibrated,-0.124,2.57105550552475E-09,1.68698767475987E-09
30,30,Neural Network,uncalibrated,-0.122,1.96375156682501E-07,1.19328345184284E-07
30,30,Neural Network,uncalibrated,-0.12,1.5681883263546E-06,1.37872336800918E-06
30,30,Neural Network,uncalibrated,-0.118,4.40705522350746E-07,1.7182439102513E-07
30,30,Neural Network,uncalibrated,-0.116,1.18327125398927E-06,8.498939424914E-07
30,30,Neural Network,uncalibrated,-0.114,7.54861748295334E-07,7.15072137017567E-07
30,30,Neural Network,uncalibrated,-0.112,3.6719085681691E-06,3.6407265612836E-06
30,30,Neural Network,uncalibrated,-0.11,4.28383615174255E-08,1.87005507624347E-08
30,30,Neural Network,uncalibrated,-0.108,1.68436883415866E-08,6.28258376166657E-09
20,20,Logistic Regression,calibrated,-0.128,1.09786911363276E-07,9.95364816490744E-09
20,20,Logistic Regression,calibrated,-0.126,2.6479541435125E-07,4.44261886629826E-08
20,20,Logistic Regression,calibrated,-0.124,5.68426550781721E-07,1.45050609724169E-07
20,20,Logistic Regression,calibrated,-0.122,1.23877397446079E-06,1.68650293488108E-07
20,20,Logistic Regression,calibrated,-0.12,2.73007321044811E-06,7.76332994659659E-07
20,20,Logistic Regression,calibrated,-0.118,9.19411972830708E-06,1.49635649509278E-06
20,20,Logistic Regression,calibrated,-0.116,1.8112882196359E-05,5.53626220340741E-06
20,20,Logistic Regression,calibrated,-0.114,1.857679769391E-05,7.13656562623683E-06
20,20,Logistic Regression,calibrated,-0.112,3.73059951564576E-05,2.97251606298817E-05
20,20,Logistic Regression,calibrated,-0.11,8.93361429102339E-06,2.2999155976377E-06
20,20,Logistic Regression,calibrated,-0.108,6.76821506515323E-06,1.82084607762649E-06
20,20,Logistic Regression,uncalibrated,-0.128,3.54663947278985E-08,5.26964027941713E-09
20,20,Logistic Regression,uncalibrated,-0.126,1.01191662742452E-07,2.62274852225594E-08
20,20,Logistic Regression,uncalibrated,-0.124,2.54505297964523E-07,9.07887659108225E-08
20,20,Logistic Regression,uncalibrated,-0.122,8.79086526478609E-07,1.49201138578145E-07
20,20,Logistic Regression,uncalibrated,-0.12,2.50574967941992E-06,1.00105932313838E-06
20,20,Logistic Regression,uncalibrated,-0.118,7.90416345232229E-06,1.55368578051026E-06
20,20,Logistic Regression,uncalibrated,-0.116,1.88886159121328E-05,7.79735730272207E-06
20,20,Logistic Regression,uncalibrated,-0.114,5.75017828586984E-07,2.70226862327051E-07
20,20,Logistic Regression,uncalibrated,-0.112,1.56278471465113E-06,1.40712094884018E-06
20,20,Logistic Regression,uncalibrated,-0.11,1.93408348029864E-07,5.87706478871717E-08
