feature_set,n_features,model,algorithm,n_neighbors,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
12,12,KNN,auto,49,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.33,0.442,0.994,0.0078,0.0077,0.00014,1.782
12,12,KNN,auto,51,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.336,0.444,0.996,0.0087,0.0087,0.00022,1.794
12,12,KNN,auto,61,uncalibrated,1.0,-0.11499980480187391,1.9523622840642094e-07,-0.112,11,0.212,0.449,1.063,0.0079,0.0078,0.00019,1.741
12,12,KNN,auto,81,uncalibrated,1.0,-0.11499932346971792,6.478679700710999e-07,-0.112,11,0.381,0.418,1.041,0.0075,0.0074,0.00015,1.855
12,12,KNN,auto,101,uncalibrated,1.0,-0.11499890090126097,1.100306757072141e-06,-0.112,11,0.43,0.448,1.212,0.0087,0.0085,0.00033,2.108
12,12,KNN,auto,151,uncalibrated,1.0,-0.11499537229547559,4.6491201735848545e-06,-0.112,11,0.559,0.779,1.435,0.0081,0.0079,0.00017,2.79
12,12,KNN,auto,201,uncalibrated,1.0,-0.11499155110477835,7.97669815596149e-06,-0.112,11,0.618,0.505,1.418,0.0163,0.0167,0.00029,2.575
12,12,KNN,kd_tree,1,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.123,0.609,1.033,0.0086,0.0088,0.00022,1.782
12,12,KNN,kd_tree,3,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.159,0.486,1.183,0.0092,0.0098,0.00018,1.847
12,12,KNN,kd_tree,5,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.28,0.551,1.25,0.0112,0.0131,0.00016,2.106
12,12,KNN,kd_tree,7,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.277,0.601,1.141,0.0087,0.0083,0.00015,2.037
12,12,KNN,kd_tree,9,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.253,0.49,0.989,0.008,0.0077,0.00015,1.748
12,12,KNN,kd_tree,11,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.182,0.451,0.962,0.0086,0.008,0.00017,1.611
12,12,KNN,kd_tree,13,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.296,0.509,0.972,0.008,0.0078,0.00015,1.794
12,12,KNN,kd_tree,15,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.282,0.523,0.956,0.0084,0.0082,0.00023,1.778
12,12,KNN,kd_tree,17,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.194,0.482,0.929,0.0083,0.0079,0.00014,1.621
12,12,KNN,kd_tree,19,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.286,0.428,0.959,0.0079,0.0077,0.00023,1.69
12,12,KNN,kd_tree,21,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.284,0.446,1.011,0.0084,0.0078,0.00014,1.758
12,12,KNN,kd_tree,23,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.218,0.444,1.142,0.009,0.0089,0.00016,1.822
12,12,KNN,kd_tree,25,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.207,0.478,1.026,0.0076,0.0078,0.00019,1.726
12,12,KNN,kd_tree,27,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.307,0.418,0.975,0.0076,0.0084,0.00015,1.717
12,12,KNN,kd_tree,29,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.306,0.431,1.02,0.0083,0.007,0.00013,1.772
12,12,KNN,kd_tree,31,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.317,0.445,1.043,0.008,0.0077,0.00019,1.821
12,12,KNN,kd_tree,33,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.316,0.415,0.918,0.0073,0.0072,0.00014,1.663
12,12,KNN,kd_tree,35,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.297,0.432,0.959,0.0077,0.0076,0.00025,1.703
12,12,KNN,kd_tree,37,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.317,0.441,0.97,0.0081,0.0078,0.00023,1.744
12,12,KNN,kd_tree,39,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.386,0.462,1.008,0.008,0.0075,0.00013,1.871
12,12,KNN,kd_tree,41,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.335,0.472,1.059,0.0085,0.0081,0.00014,1.882
12,12,KNN,kd_tree,43,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.332,0.442,0.996,0.0076,0.0075,0.00013,1.785
12,12,KNN,kd_tree,45,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.315,0.44,1.001,0.008,0.0078,0.00018,1.772
12,12,KNN,kd_tree,47,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.354,0.483,1.036,0.0079,0.0079,0.00014,1.889
12,12,KNN,kd_tree,49,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.344,0.451,0.999,0.0078,0.0077,0.00014,1.81
12,12,KNN,kd_tree,51,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.378,0.452,1.011,0.0082,0.0079,0.00015,1.857
12,12,KNN,kd_tree,61,uncalibrated,1.0,-0.11499980480187391,1.9523622840642094e-07,-0.112,11,0.375,0.436,1.044,0.0083,0.0078,0.00027,1.87
12,12,KNN,kd_tree,81,uncalibrated,1.0,-0.11499932346971792,6.478679700710999e-07,-0.112,11,0.417,0.422,1.043,0.0083,0.008,0.00019,1.899
12,12,KNN,kd_tree,101,uncalibrated,1.0,-0.11499890090126097,1.100306757072141e-06,-0.112,11,0.25,0.467,1.019,0.0079,0.0078,0.00025,1.752
12,12,KNN,kd_tree,151,uncalibrated,1.0,-0.11499537229547559,4.6491201735848545e-06,-0.112,11,0.405,0.565,1.193,0.0077,0.0076,0.00016,2.178
12,12,KNN,kd_tree,201,uncalibrated,1.0,-0.11499155110477835,7.97669815596149e-06,-0.112,11,0.606,0.426,1.112,0.0072,0.0072,0.00014,2.159
12,12,KNN,ball_tree,1,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.175,0.438,0.919,0.0072,0.007,0.00014,1.546
12,12,KNN,ball_tree,3,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.427,0.416,0.876,0.0083,0.008,0.0002,1.735
12,12,KNN,ball_tree,5,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.469,0.449,0.95,0.008,0.0076,0.00014,1.884
12,12,KNN,ball_tree,7,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.216,0.42,0.879,0.0077,0.0076,0.00017,1.53
12,12,KNN,ball_tree,9,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.488,0.458,0.933,0.008,0.008,0.00014,1.895
12,12,KNN,ball_tree,11,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.318,0.441,0.93,0.008,0.0078,0.00014,1.705
12,12,KNN,ball_tree,13,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.33,0.429,0.877,0.0077,0.0073,0.00013,1.651
12,12,KNN,ball_tree,15,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.53,0.442,0.926,0.0078,0.0077,0.00014,1.915
12,12,KNN,ball_tree,17,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.583,0.418,0.88,0.0076,0.0075,0.00015,1.896
12,12,KNN,ball_tree,19,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.31,0.444,0.944,0.0074,0.0072,0.00013,1.713
12,12,KNN,ball_tree,21,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.582,0.433,1.019,0.0079,0.0075,0.00014,2.049
12,12,KNN,ball_tree,23,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.361,0.447,1.002,0.0079,0.0076,0.00014,1.826
12,12,KNN,ball_tree,25,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.586,0.413,0.935,0.0083,0.0079,0.00013,1.95
