feature_set,n_features,model,calibration,Delta,mean,mean_err
30,30,Gradient Boosted Trees,uncalibrated,-0.124,0.999989661274668,3.7155169009665E-15
30,30,Gradient Boosted Trees,uncalibrated,-0.122,0.999989661274688,4.9026121308903E-15
30,30,Gradient Boosted Trees,uncalibrated,-0.12,0.999989661274728,5.3820057937152E-15
30,30,Gradient Boosted Trees,uncalibrated,-0.118,0.99998966127461,3.49676193512308E-15
30,30,Gradient Boosted Trees,uncalibrated,-0.116,0.999989661274688,4.9026121308903E-15
30,30,Gradient Boosted Trees,uncalibrated,-0.114,3.228854888468E-05,6.74229713066739E-20
30,30,Gradient Boosted Trees,uncalibrated,-0.112,3.228854888468E-05,6.74229713066739E-20
30,30,Gradient Boosted Trees,uncalibrated,-0.11,3.228854888468E-05,6.74229713066739E-20
30,30,Gradient Boosted Trees,uncalibrated,-0.108,3.228854888468E-05,6.74229713066739E-20
30,30,kNN,calibrated,-0.128,0.999750124936284,2.20931592377709E-15
30,30,kNN,calibrated,-0.126,0.999750124936284,2.20931592377709E-15
30,30,kNN,calibrated,-0.124,0.999750124936295,1.09344286978131E-15
30,30,kNN,calibrated,-0.122,0.999750124936284,2.20931592377709E-15
30,30,kNN,calibrated,-0.12,0.999750124936295,2.16422309957864E-15
30,30,kNN,calibrated,-0.118,0.999750124936295,1.08779196440841E-15
30,30,kNN,calibrated,-0.116,0.999750124936284,2.20931592377709E-15
30,30,kNN,calibrated,-0.114,0.00083180844596262,3.01634319588546E-18
30,30,kNN,calibrated,-0.112,0.00152776775052519,0.000695843813604576
30,30,kNN,calibrated,-0.11,0.000831808445962619,3.153519019755E-18
30,30,kNN,calibrated,-0.108,0.000831808445962619,3.153519019755E-18
30,30,kNN,uncalibrated,-0.128,1,0
30,30,kNN,uncalibrated,-0.126,1,0
30,30,kNN,uncalibrated,-0.124,1,0
30,30,kNN,uncalibrated,-0.122,1,0
30,30,kNN,uncalibrated,-0.12,1,0
30,30,kNN,uncalibrated,-0.118,1,0
30,30,kNN,uncalibrated,-0.116,1,0
30,30,kNN,uncalibrated,-0.114,0,0
30,30,kNN,uncalibrated,-0.112,0,0
30,30,kNN,uncalibrated,-0.11,0,0
30,30,kNN,uncalibrated,-0.108,0,0
30,30,SVM (RBF),calibrated,-0.128,0.999629248492825,2.59151168582338E-06
30,30,SVM (RBF),calibrated,-0.126,0.999584209445402,4.0758291857834E-06
30,30,SVM (RBF),calibrated,-0.124,0.999529041872278,4.01245545509534E-06
30,30,SVM (RBF),calibrated,-0.122,0.999467398335121,4.89162656008571E-06
30,30,SVM (RBF),calibrated,-0.12,0.999400457287324,5.71910007481467E-06
30,30,SVM (RBF),calibrated,-0.118,0.999288979682074,9.68663094280399E-06
30,30,SVM (RBF),calibrated,-0.116,0.999209479234431,8.94632888444281E-06
30,30,SVM (RBF),calibrated,-0.114,0.0042374726645827,0.00342547500505899
30,30,SVM (RBF),calibrated,-0.112,0.00984987173749752,0.00766868248153472
30,30,SVM (RBF),calibrated,-0.11,0.00217335318302603,0.000955219722072921
30,30,SVM (RBF),calibrated,-0.108,0.00129862525981119,0.000946367893382772
30,30,SVM (RBF),uncalibrated,-0.128,0.745803992573597,0.000234901909068716
30,30,SVM (RBF),uncalibrated,-0.126,0.741653868097175,0.000325286290857214
30,30,SVM (RBF),uncalibrated,-0.124,0.737475358682029,0.000284816520322504
30,30,SVM (RBF),uncalibrated,-0.122,0.733068391850115,0.000303593853477768
30,30,SVM (RBF),uncalibrated,-0.12,0.729037752290621,0.000320219593287373
30,30,SVM (RBF),uncalibrated,-0.118,0.723393685930806,0.000497196786717625
30,30,SVM (RBF),uncalibrated,-0.116,0.719939142524214,0.000387143899502892
30,30,SVM (RBF),uncalibrated,-0.114,0.13344756402257,0.0216343248061098
30,30,SVM (RBF),uncalibrated,-0.112,0.138490152458712,0.017389742276755
30,30,SVM (RBF),uncalibrated,-0.11,0.121896683306576,0.0125692659285963
30,30,SVM (RBF),uncalibrated,-0.108,0.112852904333986,0.0101920598708116
30,30,Neural Network,calibrated,-0.128,0.999600397175052,3.49676193512308E-15
30,30,Neural Network,calibrated,-0.126,0.999600397175052,3.49676193512308E-15
30,30,Neural Network,calibrated,-0.124,0.999600397174973,3.92208970471224E-15
30,30,Neural Network,calibrated,-0.122,0.999600397175059,3.49676193512308E-15
30,30,Neural Network,calibrated,-0.12,0.999600397174994,4.64439612620813E-15
30,30,Neural Network,calibrated,-0.118,0.999600397175043,3.26337589322524E-15
30,30,Neural Network,calibrated,-0.116,0.999600397175059,3.49676193512308E-15
30,30,Neural Network,calibrated,-0.114,0.00133356823203768,0.000501902018153452
30,30,Neural Network,calibrated,-0.112,0.00349564004658216,0.00265798738146913
30,30,Neural Network,calibrated,-0.11,0.000831666213884162,6.27340026345603E-18
30,30,Neural Network,calibrated,-0.108,0.000831666213884162,6.27340026345603E-18
30,30,Neural Network,uncalibrated,-0.128,1,0
30,30,Neural Network,uncalibrated,-0.126,1,0
30,30,Neural Network,uncalibrated,-0.124,1,0
30,30,Neural Network,uncalibrated,-0.122,1,0
30,30,Neural Network,uncalibrated,-0.12,1,0
30,30,Neural Network,uncalibrated,-0.118,1,0
30,30,Neural Network,uncalibrated,-0.116,1,0
30,30,Neural Network,uncalibrated,-0.114,0,0
30,30,Neural Network,uncalibrated,-0.112,0,0
30,30,Neural Network,uncalibrated,-0.11,0,0
30,30,Neural Network,uncalibrated,-0.108,0,0
20,20,Logistic Regression,calibrated,-0.128,0.999691061318364,2.75949040777751E-06
20,20,Logistic Regression,calibrated,-0.126,0.999668376600858,4.06527865325934E-06
20,20,Logistic Regression,calibrated,-0.124,0.999612906062493,3.97063519761998E-06
20,20,Logistic Regression,calibrated,-0.122,0.999522447678976,5.10171677087132E-06
20,20,Logistic Regression,calibrated,-0.12,0.999446523581025,5.77549400386508E-06
20,20,Logistic Regression,calibrated,-0.118,0.999358912517406,8.16345149362469E-06
20,20,Logistic Regression,calibrated,-0.116,0.999392909875888,8.78319319514055E-06
20,20,Logistic Regression,calibrated,-0.114,0.002960074389443,0.00245933300529501
20,20,Logistic Regression,calibrated,-0.112,0.00840219420841411,0.00679298986680356
20,20,Logistic Regression,calibrated,-0.11,0.00116850228267597,0.000561818348976077
20,20,Logistic Regression,calibrated,-0.108,0.00105356778496796,0.000643740952424
20,20,Logistic Regression,uncalibrated,-0.128,0.999999997570902,6.41667157785018E-11
20,20,Logistic Regression,uncalibrated,-0.126,0.999999998263874,6.76579121594657E-11
20,20,Logistic Regression,uncalibrated,-0.124,0.999999997210267,9.03936403851347E-11
20,20,Logistic Regression,uncalibrated,-0.122,0.999999994016517,2.08307842994717E-10
20,20,Logistic Regression,uncalibrated,-0.12,0.99999999070399,3.08805999456406E-10
20,20,Logistic Regression,uncalibrated,-0.118,0.999999986721714,5.37777080001278E-10
20,20,Logistic Regression,uncalibrated,-0.116,0.999999983310191,7.85619373046865E-10
20,20,Logistic Regression,uncalibrated,-0.114,2.989266874254E-07,2.91611134249616E-07
20,20,Logistic Regression,uncalibrated,-0.112,9.66070513805093E-06,9.11165329253413E-06
20,20,Logistic Regression,uncalibrated,-0.11,6.61832686807989E-09,5.72565219527368E-09
20,20,Logistic Regression,uncalibrated,-0.108,6.84745517282294E-09,5.63257386407339E-09
20,20,Logistic Regression C = 0.00175,calibrated,-0.128,0.999705604586846,2.63044374056375E-06
20,20,Logistic Regression C = 0.00175,calibrated,-0.126,0.999677013543113,3.94372249510034E-06
20,20,Logistic Regression C = 0.00175,calibrated,-0.124,0.999623231136454,3.84907801482848E-06
20,20,Logistic Regression C = 0.00175,calibrated,-0.122,0.999527645391744,5.04714364331808E-06
20,20,Logistic Regression C = 0.00175,calibrated,-0.12,0.999452570351231,5.71390625751287E-06
20,20,Logistic Regression C = 0.00175,calibrated,-0.118,0.999377385569294,7.89486675168065E-06
20,20,Logistic Regression C = 0.00175,calibrated,-0.116,0.999361437573574,9.2038614374575E-06
20,20,Logistic Regression C = 0.00175,calibrated,-0.114,0.00293550967659307,0.00243398508505955
20,20,Logistic Regression C = 0.00175,calibrated,-0.112,0.00855367990680637,0.00694069013045648
20,20,Logistic Regression C = 0.00175,calibrated,-0.11,0.00117789920923902,0.000561796211716853
20,20,Logistic Regression C = 0.00175,calibrated,-0.108,0.00105683532884574,0.000645623985242129
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.128,0.999999990432314,2.32849736694046E-10
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.126,0.999999992344394,2.74592495839485E-10
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.124,0.999999988136732,3.53864771930962E-10
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.122,0.999999977237241,7.23628965210283E-10
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.12,0.999999965814503,1.03977007670475E-09
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.118,0.999999949955573,1.8628091541521E-09
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.116,0.999999936554222,2.73377076794039E-09
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.114,6.49005734035401E-07,6.29007847192482E-07
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.112,1.66112672309097E-05,1.54908912168939E-05
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.11,1.96172699696466E-08,1.64289485304036E-08
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.108,1.99680735966813E-08,1.61025960431441E-08
20,20,Decision Tree,calibrated,-0.128,0.999750124936284,2.20931592377709E-15
20,20,Decision Tree,calibrated,-0.126,0.999750124936284,2.20931592377709E-15
20,20,Decision Tree,calibrated,-0.124,0.999750124936295,1.09344286978131E-15
20,20,Decision Tree,calibrated,-0.122,0.999750124936284,2.20931592377709E-15
20,20,Decision Tree,calibrated,-0.12,0.999750124936295,2.16422309957864E-15
20,20,Decision Tree,calibrated,-0.118,0.999750124936295,1.08779196440841E-15
20,20,Decision Tree,calibrated,-0.116,0.999750124936284,2.20931592377709E-15
20,20,Decision Tree,calibrated,-0.114,0.00083180844596262,3.01634319588546E-18
20,20,Decision Tree,calibrated,-0.112,0.000831808445962619,3.153519019755E-18
20,20,Decision Tree,calibrated,-0.11,0.000831808445962619,3.153519019755E-18
20,20,Decision Tree,calibrated,-0.108,0.000831808445962619,3.153519019755E-18
20,20,Decision Tree,uncalibrated,-0.128,1,0
20,20,Decision Tree,uncalibrated,-0.126,1,0
20,20,Decision Tree,uncalibrated,-0.124,1,0
20,20,Decision Tree,uncalibrated,-0.122,1,0
20,20,Decision Tree,uncalibrated,-0.12,1,0
20,20,Decision Tree,uncalibrated,-0.118,1,0
20,20,Decision Tree,uncalibrated,-0.116,1,0
20,20,Decision Tree,uncalibrated,-0.114,0,0
20,20,Decision Tree,uncalibrated,-0.112,0,0
20,20,Decision Tree,uncalibrated,-0.11,0,0
20,20,Decision Tree,uncalibrated,-0.108,0,0
