transition,folder,tag,model,calibration,param,k4,chi,chi_err,chi_B,variance,variance_err,variance_B,ess_frac
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03708,0.9702634,0.05414712657281431,0.022298050721036182,2.0,-0.0002925811665816612,0.000347829550538907,2.0,0.0030946534936711787
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0371,0.9702482499999999,0.06410846431449224,0.022662465063505353,2.0,-0.0003418841112920821,0.0004187075241365687,2.0,0.003527992055978021
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03712,0.9702331,0.07506651723235047,0.022760498857774814,2.0,-0.0003971437440547114,0.0005038502245650529,2.0,0.004046158191879367
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03714,0.97021795,0.08700386827742206,0.022553311832691658,2.0,-0.00045793800089428564,0.0006059334011966727,2.0,0.004669240808494743
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03716,0.9702028,0.096795494065668,0.02249068188790473,4.0,-0.0005231645784691379,0.000728043277790302,2.0,0.005422739134212399
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03718,0.97018765,0.1097917308265755,0.022618361262543976,4.0,-0.0005907176942503611,0.0008737009419821958,2.0,0.006339148917246599
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0372,0.9701725,0.12355921712835989,0.02270239146672712,15.0,-0.0006570568009475258,0.0010468700536054977,2.0,0.007460033745073872
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03722,0.97015735,0.138225378502254,0.02310549652573975,15.0,-0.0007166435743322865,0.001251938003998973,2.0,0.008838727573605048
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03724,0.9701422,0.15365371206243958,0.0235002827597247,15.0,-0.0007612238358899136,0.0014936573432953524,2.0,0.010543853027256472
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03726,0.97012705,0.16794262647832806,0.023978346643000907,11.0,-0.000778935012720152,0.001777030383545337,2.0,0.01266388371949465
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03728,0.9701119,0.18427821988266802,0.024833844695247152,11.0,-0.0007532292878564668,0.002107115530489541,2.0,0.01531302425761929
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0373,0.9700967500000001,0.20111648051215542,0.025669427094230375,11.0,-0.0006616202347700839,0.0024887294502688247,2.0,0.018638720984056886
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03732,0.9700816,0.2183454737048442,0.0264907095727884,11.0,-0.0004742892112444188,0.0029260153151567632,2.0,0.022831135033105476
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03734,0.97006645,0.23583945814061516,0.027301839559377136,11.0,-0.00015262966376987288,0.003421845240612761,2.0,0.02813488101381523
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03736,0.9700513000000001,0.25345788195114466,0.02810523695458383,11.0,0.00035213573899193617,0.0039770264182890135,2.0,0.034863217333164755
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03738,0.97003615,0.27420193606484156,0.029038757733545893,4.0,0.0011000594786458595,0.004589287982462277,2.0,0.043414603394756245
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0374,0.970021,0.2916926495670259,0.031245852787153795,4.0,0.002163009850149767,0.005252042870629127,2.0,0.0542910228576309
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03742,0.9700083500000001,0.3067375821684428,0.03337599513699022,4.0,0.0034256350071908085,0.005868147322623414,2.0,0.06628884200533582
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03744,0.9699957,0.3212872233493008,0.03562619060294924,4.0,0.00506026765840464,0.006500998619278059,2.0,0.08108654983500742
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03746,0.9699830500000001,0.3351821675565102,0.03793874154018901,4.0,0.007134312676934094,0.00713232275329694,2.0,0.09928713917019547
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03748,0.9699704,0.34825515232109394,0.040250205136280595,4.0,0.009716559781560635,0.007737898641200136,2.0,0.12158064831635672
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0375,0.9699577500000001,0.36033413099223605,0.042491659305172055,4.0,0.012873396513850551,0.00828708214631448,2.0,0.14873218133773633
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03752,0.9699451,0.370657304489315,0.04497706426407211,5.0,0.01666400771433957,0.008742756322911579,2.0,0.18155382341013382
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03754,0.9699324500000001,0.37999280618824416,0.047626498709579766,5.0,0.02143883469363607,0.009466433725937294,15.0,0.22085395621435658
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03756,0.9699198,0.3878303394345707,0.04997004703633996,5.0,0.026353248302508382,0.010296778845403585,15.0,0.26735722678399226
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03758,0.9699071499999999,0.3940312212086552,0.05191786472289795,5.0,0.031978753917334686,0.011103641867582866,15.0,0.32158986045904486
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0376,0.9698945,0.3984767239969094,0.0533874404484449,5.0,0.038312472731133515,0.011875562942292993,15.0,0.38372939945201756
