transition,folder,tag,model,calibration,param,k4,chi,chi_err,chi_B,variance,variance_err,variance_B,ess_frac
AC,c_a,LR,Logistic Regression,uncalibrated,4.757,1.176828,0.5314013239068869,0.016690166933867292,45.0,0.09754504859499392,0.00685083916873013,25.0,0.025556090061358894
AC,c_a,LR,Logistic Regression,uncalibrated,4.758,1.176982,0.5225527356160616,0.01565713006171983,45.0,0.103702076069519,0.006261746616034841,25.0,0.033864516244485346
AC,c_a,LR,Logistic Regression,uncalibrated,4.759,1.177136,0.5135264973168995,0.014836332741135981,27.0,0.10973722115837001,0.005686480772493249,25.0,0.044908830856231124
AC,c_a,LR,Logistic Regression,uncalibrated,4.76,1.17729,0.5038587156172483,0.014064522667908422,25.0,0.11561006158810547,0.0051350329046124885,25.0,0.05944958630405114
AC,c_a,LR,Logistic Regression,uncalibrated,4.761,1.177448,0.4935147629847308,0.013284330614621765,25.0,0.12136764929279144,0.0047446995801554825,6.0,0.07888890256776035
AC,c_a,LR,Logistic Regression,uncalibrated,4.762,1.177606,0.48281046874112166,0.012532531371938651,25.0,0.12693459883620922,0.004509211750741458,6.0,0.10386790101355786
AC,c_a,LR,Logistic Regression,uncalibrated,4.763,1.177764,0.4717700941697772,0.011823085545885782,25.0,0.13221895713920592,0.004266065311356195,6.0,0.13527796217247937
AC,c_a,LR,Logistic Regression,uncalibrated,4.764,1.1779220000000001,0.4604158405653315,0.01116603786720485,25.0,0.1371797003566458,0.004191805183537924,4.0,0.17379794350683814
AC,c_a,LR,Logistic Regression,uncalibrated,4.765,1.17808,0.4487686330233957,0.01056750751387437,25.0,0.14178995538766798,0.004085182749484738,4.0,0.21974829295341783
AC,c_a,LR,Logistic Regression,uncalibrated,4.766,1.1782380000000001,0.4368488850711372,0.010029924949744388,25.0,0.14601818086054286,0.003918048955937015,4.0,0.2729815810547358
AC,c_a,LR,Logistic Regression,uncalibrated,4.767,1.1783960000000002,0.42468138500343117,0.009587525386765458,27.0,0.14983353641090075,0.003692256154747268,4.0,0.3328440378130527
AC,c_a,LR,Logistic Regression,uncalibrated,4.768,1.178554,0.4122791293912838,0.00921609654685865,27.0,0.15320759218081467,0.003411925373046158,4.0,0.3982182733217403
AC,c_a,LR,Logistic Regression,uncalibrated,4.769,1.1787120000000002,0.3996378414785155,0.008925952083949583,23.0,0.15611466568697774,0.0030829210383872016,4.0,0.4676268106118885
AC,c_a,LR,Logistic Regression,uncalibrated,4.77,1.17887,0.3868496982674798,0.00872751843330211,23.0,0.15853220972254606,0.002712517107468466,4.0,0.5393577605446005
AC,c_a,LR,Logistic Regression,uncalibrated,4.771,1.1790250000000002,0.3741530184162838,0.008571621642896024,23.0,0.16040898780271862,0.0023173738324753553,4.0,0.6102214962437416
AC,c_a,LR,Logistic Regression,uncalibrated,4.772,1.1791800000000001,0.36133038911661286,0.008443707485906204,23.0,0.16170831261274218,0.001985327498711625,3.0,0.6797843120989653
AC,c_a,LR,Logistic Regression,uncalibrated,4.773,1.179335,0.3484102075786582,0.008334609872624495,23.0,0.1625692887103776,0.0016952048136491707,3.0,0.746288815471181
AC,c_a,LR,Logistic Regression,uncalibrated,4.774,1.1794900000000001,0.3354224937400574,0.008236266416228493,23.0,0.16291311808548053,0.0013758308847797937,3.0,0.8080263069354313
AC,c_a,LR,Logistic Regression,uncalibrated,4.775,1.179645,0.32239867352380963,0.0081418490024878,23.0,0.1627212180070295,0.001185146949992415,79.0,0.8633744085968219
AC,c_a,LR,Logistic Regression,uncalibrated,4.776,1.1798,0.3094214823783271,0.008311042912521828,4.0,0.16203086920524096,0.001253990679763675,25.0,0.9108435741118219
AC,c_a,LR,Logistic Regression,uncalibrated,4.777,1.179955,0.29641478404248656,0.00848274197029137,4.0,0.16082381941818585,0.0013675474516103689,25.0,0.9491333338489312
AC,c_a,LR,Logistic Regression,uncalibrated,4.778,1.18011,0.28347123061350943,0.008599296851280074,4.0,0.15914644082231272,0.001507193416637293,23.0,0.977193173796852
AC,c_a,LR,Logistic Regression,uncalibrated,4.779,1.180265,0.27062492157031653,0.008662085684309094,4.0,0.1569706676404441,0.0017134758753011594,23.0,0.9942795528829523
AC,c_a,LR,Logistic Regression,uncalibrated,4.78,1.18042,0.2579094857954173,0.008673135333768128,4.0,0.15434092450428094,0.0019209627488217297,23.0,1.0
AC,c_a,LR,Logistic Regression,uncalibrated,4.781,1.1805759999999998,0.2452761921580455,0.008634736156990577,4.0,0.15130287228795938,0.002280383167337079,4.0,0.9942645896402904
AC,c_a,LR,Logistic Regression,uncalibrated,4.782,1.180732,0.2328408168447284,0.008549480056268348,4.0,0.1478148111268251,0.0026128410620611157,4.0,0.9773653329498592
AC,c_a,LR,Logistic Regression,uncalibrated,4.783,1.1808880000000002,0.22063388906495546,0.008420731439065235,4.0,0.14395659265933686,0.0029106929079918075,4.0,0.9500273345790389
AC,c_a,LR,Logistic Regression,uncalibrated,4.784,1.181044,0.2086840095374183,0.008252153624150564,4.0,0.13976465827005702,0.003170428544976591,4.0,0.913288606465064
AC,c_a,LR,Logistic Regression,uncalibrated,4.785,1.1812,0.19701758997024887,0.008047654041557956,4.0,0.13527746671155583,0.003389869423967313,4.0,0.8684379071846742
AC,c_a,LR,Logistic Regression,uncalibrated,4.786,1.1813559999999999,0.18565864517569733,0.0078113282615030035,4.0,0.13053486389158275,0.0035679357964620013,4.0,0.81694380785707
AC,c_a,LR,Logistic Regression,uncalibrated,4.787,1.181512,0.17462863941200424,0.007547400740128724,4.0,0.12557745707544518,0.003704510859340262,4.0,0.7603813072040916
AC,c_a,LR,Logistic Regression,uncalibrated,4.788,1.1816680000000002,0.16394638630358283,0.007260162031538027,4.0,0.12044601128896315,0.0038003353134573306,4.0,0.7003609171659473
AC,c_a,LR,Logistic Regression,uncalibrated,4.789,1.181824,0.15362799972839442,0.006953903496391109,4.0,0.11518088309322388,0.003856906581182519,4.0,0.638463433960793
AC,c_a,LR,Logistic Regression,uncalibrated,4.79,1.18198,0.1436868914504972,0.006632851359009113,4.0,0.10982150379138378,0.0038763733008284305,4.0,0.5761821615644567
AC,c_a,LR,Logistic Regression,uncalibrated,4.791,1.1821380000000001,0.13401220846531448,0.006296710652552791,4.0,0.10433533034828349,0.003861022185478976,4.0,0.5141088739386348
AC,c_a,LR,Logistic Regression,uncalibrated,4.792,1.182296,0.12474419003816542,0.005953569856498355,4.0,0.09882916702058886,0.003813533395916972,4.0,0.4542578398792472
AC,c_a,LR,Logistic Regression,uncalibrated,4.793,1.1824540000000001,0.11588869267110476,0.005607233882434812,4.0,0.09333848670393022,0.0037374534653386057,4.0,0.3976342133286411
AC,c_a,LR,Logistic Regression,uncalibrated,4.794,1.182612,0.10744908768310918,0.005261204360278638,4.0,0.08789625796242073,0.003636523656903789,4.0,0.3450053447362541
AC,c_a,LR,Logistic Regression,uncalibrated,4.795,1.18277,0.09942641020918583,0.0049186422211479576,4.0,0.08253273192375543,0.00351456299337879,4.0,0.2968951445077047
AC,c_a,LR,Logistic Regression,uncalibrated,4.796,1.1829280000000002,0.09181951854491603,0.004582342171543088,4.0,0.07727529213193057,0.0033753625623603382,4.0,0.25359268819238007
AC,c_a,LR,Logistic Regression,uncalibrated,4.797,1.183086,0.08465821409506627,0.004290532653394248,2.0,0.07214836150948864,0.0032225943608226244,4.0,0.21517405422101685
AC,c_a,LR,Logistic Regression,uncalibrated,4.798,1.1832440000000002,0.07786570787927259,0.004129995108317533,2.0,0.0672028613142488,0.0031330778383927838,2.0,0.1815347472846845
AC,c_a,LR,Logistic Regression,uncalibrated,4.799,1.183402,0.07141024520447734,0.003961801420722421,86.0,0.06239480101599665,0.0030761230929574057,2.0,0.15242877440780478
AC,c_a,LR,Logistic Regression,uncalibrated,4.8,1.18356,0.06540366485319304,0.0038471897970408313,86.0,0.05777204607058667,0.0030009940186474515,2.0,0.12750990607931745
AC,c_a,LR,Logistic Regression,uncalibrated,4.801,1.183718,0.059780028944736635,0.0037306727276902167,86.0,0.053297213391816554,0.002921891292943397,86.0,0.10637097994639055
AC,c_a,LR,Logistic Regression,uncalibrated,4.802,1.183876,0.054528696929857984,0.003612116037894701,86.0,0.049072483738985234,0.002887796555373023,86.0,0.08857810488917006
AC,c_a,LR,Logistic Regression,uncalibrated,4.803,1.184034,0.04963794591647315,0.003491449240922176,86.0,0.04506252658889129,0.0028448097841504666,86.0,0.07369794618020596
AC,c_a,LR,Logistic Regression,uncalibrated,4.804,1.1841920000000001,0.045095107709167394,0.0033686790012254614,86.0,0.04127217408293059,0.0027932587327612213,86.0,0.061317559495885604
