transition,model,feature_set,calibration,critical_parameter,critical_value,x,distance_from_critical,chi_err
AC,Logistic Regression,30,uncalibrated,K0_crit,4.77550877767867,4.79,0.014491222321329822,0.0035572548722312
AC,Logistic Regression,30,uncalibrated,K0_crit,4.77550877767867,4.76,0.015508777678670427,0.0047754704316848
AC,Logistic Regression,30,uncalibrated,K0_crit,4.77550877767867,4.75,0.025508777678670214,0.0061749818650353
AC,Logistic Regression,30,calibrated,K0_crit,4.77688837381718,4.78,0.0031116261828199043,0.0012159227773122
AC,Logistic Regression,30,calibrated,K0_crit,4.77688837381718,4.77,0.006888373817180771,0.0028321997017029
AC,Logistic Regression,30,calibrated,K0_crit,4.77688837381718,4.79,0.013111626182819691,0.0014124197661515
AC,Logistic Regression,30,calibrated,K0_crit,4.77688837381718,4.76,0.016888373817180558,0.0022450502536367
AC,Logistic Regression,30,calibrated,K0_crit,4.77688837381718,4.75,0.026888373817180344,0.0031216510715685
AC,Logistic Regression,20,uncalibrated,K0_crit,4.77851985768958,4.78,0.0014801423104202627,0.0023368782578203
AC,Logistic Regression,20,uncalibrated,K0_crit,4.77851985768958,4.77,0.008519857689580412,0.0055853150401331
AC,Logistic Regression,20,uncalibrated,K0_crit,4.77851985768958,4.79,0.01148014231042005,0.0032667632018819
AC,Logistic Regression,20,uncalibrated,K0_crit,4.77851985768958,4.76,0.0185198576895802,0.0059810604964862
AC,Logistic Regression,20,uncalibrated,K0_crit,4.77851985768958,4.75,0.028519857689579986,0.0078400686456536
AC,Logistic Regression,20,calibrated,K0_crit,4.78024562369027,4.78,0.0002456236902697029,0.0018102284090485
AC,Logistic Regression,20,calibrated,K0_crit,4.78024562369027,4.79,0.009754376309730084,0.0014225350465202
AC,Logistic Regression,20,calibrated,K0_crit,4.78024562369027,4.77,0.010245623690270378,0.0038574610489258
AC,Logistic Regression,20,calibrated,K0_crit,4.78024562369027,4.76,0.020245623690270165,0.0031621004166622
AC,Logistic Regression,20,calibrated,K0_crit,4.78024562369027,4.81,0.029754376309729658,0.002169106836435
AC,Logistic Regression,12,uncalibrated,K0_crit,4.77882069585482,4.78,0.0011793041451806374,0.0016311204865483
AC,Logistic Regression,12,uncalibrated,K0_crit,4.77882069585482,4.77,0.008820695854820038,0.0057184241599519
