transition,model,feature_set,chi_max_uncalibrated,chi_max_calibrated,ratio_calibrated_uncalibrated,relative_change,x_max_uncalibrated,x_max_calibrated,x_shift,chi_err_uncalibrated,chi_err_calibrated
AC,Random Forest,12,0.137189527732071,0.193666313631029,1.4116698033195092,0.4116698033195092,4.78,4.77,-0.010000000000000675,0.0023194713129888,0.0034885080574812
AC,SVM (RBF),30,0.062232082304292,0.0517564652139836,0.8316685429376044,-0.1683314570623956,4.77,4.77,0.0,0.001126458447558,0.000989898846676
AC,SVM (RBF),20,0.0751407904868794,0.064187718180832,0.8542326712950944,-0.14576732870490555,4.77,4.77,0.0,0.0020239190192203,0.0019063076497026
AC,SVM (RBF),12,0.0630678410974948,0.0525010380626294,0.8324533890651105,-0.1675466109348896,4.77,4.77,0.0,0.0011584836898658,0.0010133847149642
AC,kNN,30,0.198031989125066,0.223323672586491,1.127715141241409,0.12771514124140906,4.77,4.77,0.0,0.001453367446642,0.001214809434381
AC,kNN,20,0.183766737545807,0.21047558728129,1.145341045350089,0.14534104535008888,4.77,4.77,0.0,0.0028647023453973,0.0028893669257956
AC,kNN,12,0.194533035939046,0.221183659603349,1.136997932179774,0.13699793217977413,4.77,4.77,0.0,0.0019210256063247,0.0018975714143182
AC,kNN ball_tree,30,0.198031989125066,0.223323672586491,1.127715141241409,0.12771514124140906,4.77,4.77,0.0,0.001453367446642,0.001214809434381
AC,kNN ball_tree,20,0.183766737545807,0.21047558728129,1.145341045350089,0.14534104535008888,4.77,4.77,0.0,0.0028647023453973,0.0028893669257956
AC,kNN ball_tree,12,0.194533035939046,0.221183659603349,1.136997932179774,0.13699793217977413,4.77,4.77,0.0,0.0019210256063247,0.0018975714143182
AC,kNN kd_tree,30,0.198031989125066,0.223323672586491,1.127715141241409,0.12771514124140906,4.77,4.77,0.0,0.001453367446642,0.001214809434381
