transition,critical_parameter,model,feature_set,critical_uncalibrated,critical_calibrated,difference,abs_difference,error_uncalibrated,error_calibrated,combined_error,within_4e-5,within_statistical_error
AB,Delta_crit,SVM (RBF),12,-0.114998741993322,-0.114995442479011,3.2995143109948444e-06,3.2995143109948444e-06,1.14900110378392e-06,4.39841267549246e-06,4.546013374422628e-06,True,True
AB,Delta_crit,kNN,30,-0.115,-0.114999417436468,5.825635320116929e-07,5.825635320116929e-07,0.0,2.21344120014336e-18,2.21344120014336e-18,True,False
AB,Delta_crit,kNN,20,-0.115,-0.114999417436468,5.825635320116929e-07,5.825635320116929e-07,0.0,2.21344120014336e-18,2.21344120014336e-18,True,False
AB,Delta_crit,kNN,12,-0.115,-0.114999417436468,5.825635320116929e-07,5.825635320116929e-07,0.0,2.21344120014336e-18,2.21344120014336e-18,True,False
AC,K0_crit,Decision Tree,30,4.78070072704616,4.78277715010181,0.0020764230556507,0.0020764230556507,0.0007862981210952,0.000737199622717,0.0010778348755592988,False,False
AC,K0_crit,Decision Tree,20,4.7858863527808,4.78636613007904,0.0004797772982403359,0.0004797772982403359,0.0010234927719474,0.0010103090770369,0.001438145293554071,False,True
AC,K0_crit,Decision Tree,12,4.7793203061116,4.77714991834042,-0.00217038777118006,0.00217038777118006,0.0006108570896788,0.000561280299284,0.0008295673320323011,False,False
AC,K0_crit,Gradient Boosted Trees,30,4.78083187568626,4.78024463542826,-0.0005872402579996105,0.0005872402579996105,0.0006078648762641,0.0006298012742162,0.0008752995788870909,False,True
AC,K0_crit,Gradient Boosted Trees,20,4.78000148947701,4.77980339573856,-0.00019809373845003364,0.00019809373845003364,0.0006527370541665,0.0006342170462373,0.0009101081933594081,False,True
AC,K0_crit,Gradient Boosted Trees,12,4.77932031546694,4.77714991834029,-0.0021703971266502364,0.0021703971266502364,0.0006108571128591,0.0005612802992838,0.0008295673491011248,False,False
AC,K0_crit,Logistic Regression,30,4.77550877767867,4.77688837381718,0.0013795961385101307,0.0013795961385101307,0.000807067638717,0.0007786670730863,0.0011214635902128162,False,False
AC,K0_crit,Logistic Regression,20,4.77851985768958,4.78024562369027,0.0017257660006899656,0.0017257660006899656,0.0008410486313621,0.0008615476931074,0.0012040046627047358,False,False
AC,K0_crit,Logistic Regression,12,4.77882069585482,4.77968789033005,0.0008671944752300931,0.0008671944752300931,0.0009466456952449,0.0008688880108041,0.0012849530916126104,False,True
AC,K0_crit,Logistic Regression C = 0.00175,30,4.77209578537785,4.77650318939598,0.004407404018129668,0.004407404018129668,0.000698873219654,0.000777215313317,0.0010452212303641705,False,False
AC,K0_crit,Logistic Regression C = 0.00175,20,4.7732065778388,4.77424123694287,0.0010346591040697461,0.0010346591040697461,0.0007726611949083,0.0007665834672091,0.0010884188230251475,False,True
AC,K0_crit,Logistic Regression C = 0.00175,12,4.77244468810147,4.77229808767113,-0.00014660043034009362,0.00014660043034009362,0.0007217476422488,0.0007051876971663,0.0010090635992475454,False,True
AC,K0_crit,Neural Network,30,4.77503423846111,4.78737893472454,0.01234469626342971,0.01234469626342971,0.0008135895196738,0.0007466758469815,0.0011042883350776576,False,False
AC,K0_crit,Neural Network,20,4.77544188071748,4.76112297420038,-0.014318906517099883,0.014318906517099883,0.0008544322863234,0.0008080486146203,0.0011760089691416553,False,False
AC,K0_crit,Neural Network,12,4.75700182095649,4.79359877976355,0.03659695880705982,0.03659695880705982,0.0008910496856149,0.000960352159347,0.0013100556523281208,False,False
AC,K0_crit,Random Forest,30,4.77983677102662,4.77806209491088,-0.0017746761157395596,0.0017746761157395596,0.0005869348441589,0.0006086041145064,0.0008455125543017983,False,False
AC,K0_crit,Random Forest,20,4.78116235339328,4.78014229318481,-0.0010200602084697863,0.0010200602084697863,0.000604099120708,0.0006402337118477,0.0008802470979369728,False,False
AC,K0_crit,Random Forest,12,4.77521510987544,4.77377992393004,-0.0014351859453993754,0.0014351859453993754,0.0006026858606082,0.0005841065532069,0.0008392917919748124,False,False
AC,K0_crit,SVM (RBF),30,4.76593592120594,4.76530791798851,-0.000628003217429729,0.000628003217429729,0.0004852402334864,0.0004804682365762,0.0006828673447695235,False,True
AC,K0_crit,SVM (RBF),20,4.77280935390138,4.77357733773043,0.0007679838290499674,0.0007679838290499674,0.0007020312876128,0.0007077356877788,0.0009968639488631419,False,True
AC,K0_crit,SVM (RBF),12,4.76656472341493,4.76593046414107,-0.0006342592738608488,0.0006342592738608488,0.000498592320462,0.0004904058585348,0.0006993512766192222,False,True
AC,K0_crit,kNN,30,4.77138596415986,4.77089959510805,-0.00048636905180998724,0.00048636905180998724,0.0006165283992335,0.0005863495600452,0.0008508308137500789,False,True
AC,K0_crit,kNN,20,4.77303289368953,4.77359491694618,0.0005620232566503347,0.0005620232566503347,0.0007063046223549,0.0006899963599164,0.0009874012336724013,False,True
AC,K0_crit,kNN,12,4.77238556015672,4.77175654477486,-0.0006290153818602207,0.0006290153818602207,0.0005842796939558,0.0006039610642893,0.0008403283453189874,False,True
AC,K0_crit,kNN ball_tree,30,4.77138596415986,4.77089959510805,-0.00048636905180998724,0.00048636905180998724,0.0006165283992335,0.0005863495600452,0.0008508308137500789,False,True
AC,K0_crit,kNN ball_tree,20,4.77303289368953,4.77359491694618,0.0005620232566503347,0.0005620232566503347,0.0007063046223549,0.0006899963599164,0.0009874012336724013,False,True
AC,K0_crit,kNN ball_tree,12,4.77238556015672,4.77175654477486,-0.0006290153818602207,0.0006290153818602207,0.0005842796939558,0.0006039610642893,0.0008403283453189874,False,True
AC,K0_crit,kNN kd_tree,30,4.77138596415986,4.77089959510805,-0.00048636905180998724,0.00048636905180998724,0.0006165283992335,0.0005863495600452,0.0008508308137500789,False,True
AC,K0_crit,kNN kd_tree,20,4.77303289368953,4.77359491694618,0.0005620232566503347,0.0005620232566503347,0.0007063046223549,0.0006899963599164,0.0009874012336724013,False,True
AC,K0_crit,kNN kd_tree,12,4.77238556015672,4.77175654477486,-0.0006290153818602207,0.0006290153818602207,0.0005842796939558,0.0006039610642893,0.0008403283453189874,False,True
BCb,Delta_crit,Decision Tree,30,0.0380249825550208,0.0380179015948743,-7.080960146496618e-06,7.080960146496618e-06,3.22609787259806e-05,3.11493996341614e-05,4.484479731169344e-05,True,True
BCb,Delta_crit,Decision Tree,20,0.038679299382591,0.0386737628801653,-5.536502425698697e-06,5.536502425698697e-06,0.0001307267708105,0.0001342727381656,0.00018739972470905276,True,True
BCb,Delta_crit,Decision Tree,12,0.0379816588227349,0.0379811549765979,-5.038461369996639e-07,5.038461369996639e-07,2.7955982991172e-05,2.79683919804396e-05,3.954450574952501e-05,True,True
BCb,Delta_crit,Gradient Boosted Trees,30,0.038019173114121,0.0380185101183177,-6.629958032994265e-07,6.629958032994265e-07,3.02972648815344e-05,3.04102432474727e-05,4.2926765003576927e-05,True,True
BCb,Delta_crit,Gradient Boosted Trees,20,0.038057264488734,0.0380685872434651,1.1322754731105111e-05,1.1322754731105111e-05,3.63857409110886e-05,3.88504680974996e-05,5.322857327642458e-05,True,True
BCb,Delta_crit,Gradient Boosted Trees,12,0.0379690306248009,0.0379617181387234,-7.312486077500069e-06,7.312486077500069e-06,2.81393656675832e-05,2.83444978939133e-05,3.9940386340545276e-05,True,True
BCb,Delta_crit,Logistic Regression,30,0.0379105610083693,0.0379347080808661,2.414707249680237e-05,2.414707249680237e-05,3.35515334559452e-05,3.68030137828047e-05,4.980127730031352e-05,True,True
BCb,Delta_crit,Logistic Regression,20,0.0379694506665985,0.0379910746063448,2.1623939746300003e-05,2.1623939746300003e-05,2.99053505523541e-05,4.29951685201972e-05,5.2372841318180764e-05,True,True
BCb,Delta_crit,Logistic Regression,12,0.037916213318502,0.0379363536840316,2.0140365529601467e-05,2.0140365529601467e-05,3.29229682240185e-05,3.68854065839189e-05,4.944143055718291e-05,True,True
BCb,Delta_crit,Logistic Regression C = 0.00175,30,0.0379104879234025,0.0379340407920996,2.3552868697103435e-05,2.3552868697103435e-05,3.35559731998426e-05,3.67710467282742e-05,4.9780651009016336e-05,True,True
BCb,Delta_crit,Logistic Regression C = 0.00175,20,0.0379709157142573,0.0379915282286589,2.061251440160089e-05,2.061251440160089e-05,2.99443514168881e-05,4.30651987023112e-05,5.2452602614623754e-05,True,True
BCb,Delta_crit,Logistic Regression C = 0.00175,12,0.0379171621582655,0.0379364708283086,1.9308670043099996e-05,1.9308670043099996e-05,3.28229606845678e-05,3.68886993240438e-05,4.937735195330338e-05,True,True
BCb,Delta_crit,Neural Network,30,0.0378974318047632,0.0379030877030621,5.655898298893847e-06,5.655898298893847e-06,3.81875745889339e-05,4.86179615808563e-05,6.182230213493356e-05,True,True
BCb,Delta_crit,Neural Network,20,0.0372447072290085,0.0381530800852953,0.000908372856286796,0.000908372856286796,6.18750305602643e-05,0.0001008721237702,0.00011833725009794755,False,False
BCb,Delta_crit,Neural Network,12,0.0385543891412459,0.0381455224365012,-0.0004088667047447009,0.0004088667047447009,0.000215150394733,7.89049426398027e-05,0.0002291630038351659,False,False
BCb,Delta_crit,Random Forest,30,0.0380403762247638,0.0379988957557131,-4.148046905069758e-05,4.148046905069758e-05,3.57842853366705e-05,2.8299564662415e-05,4.562214853706979e-05,False,True
BCb,Delta_crit,Random Forest,20,0.0381940624542248,0.0381284293650779,-6.563308914690064e-05,6.563308914690064e-05,6.25803290274473e-05,5.58305197549915e-05,8.386503751442588e-05,False,True
BCb,Delta_crit,Random Forest,12,0.0379533480349528,0.0379803855384576,2.703750350480094e-05,2.703750350480094e-05,2.88116038206794e-05,2.81090480564786e-05,4.025204463578479e-05,True,True
BCb,Delta_crit,SVM (RBF),30,0.0379119889166156,0.0379148382207093,2.849304093700822e-06,2.849304093700822e-06,3.45418576995054e-05,3.5753909560249e-05,4.9714001872463914e-05,True,True
BCb,Delta_crit,SVM (RBF),20,0.0379344313438528,0.0379375666732625,3.1353294097022366e-06,3.1353294097022366e-06,3.47375457260499e-05,3.6723514153631e-05,5.055010954351478e-05,True,True
BCb,Delta_crit,SVM (RBF),12,0.0379090238353227,0.0379119123997207,2.8885643980000597e-06,2.8885643980000597e-06,3.46068539997501e-05,3.57104138102178e-05,4.972793981512821e-05,True,True
BCb,Delta_crit,kNN,30,0.037999363075169,0.0379995998637636,2.3678859460002366e-07,2.3678859460002366e-07,2.79793197797717e-05,2.80023881740037e-05,3.9585048677326474e-05,True,True
BCb,Delta_crit,kNN,20,0.0380493562866334,0.0380490078646906,-3.4842194279738337e-07,3.4842194279738337e-07,3.65843809338212e-05,3.64599566802287e-05,5.165022138805499e-05,True,True
BCb,Delta_crit,kNN,12,0.0379905631937495,0.0379911085516005,5.453578509964641e-07,5.453578509964641e-07,2.76760388555504e-05,2.76556681109504e-05,3.9125427862158574e-05,True,True
BCb,Delta_crit,kNN ball_tree,30,0.037999363075169,0.0379995998637636,2.3678859460002366e-07,2.3678859460002366e-07,2.79793197797717e-05,2.80023881740037e-05,3.9585048677326474e-05,True,True
BCb,Delta_crit,kNN ball_tree,20,0.0380493562866334,0.0380490078646906,-3.4842194279738337e-07,3.4842194279738337e-07,3.65843809338212e-05,3.64599566802287e-05,5.165022138805499e-05,True,True
BCb,Delta_crit,kNN ball_tree,12,0.0379905631937495,0.0379911085516005,5.453578509964641e-07,5.453578509964641e-07,2.76760388555504e-05,2.76556681109504e-05,3.9125427862158574e-05,True,True
BCb,Delta_crit,kNN kd_tree,30,0.037999363075169,0.0379995998637636,2.3678859460002366e-07,2.3678859460002366e-07,2.79793197797717e-05,2.80023881740037e-05,3.9585048677326474e-05,True,True
BCb,Delta_crit,kNN kd_tree,20,0.0380493562866334,0.0380490078646906,-3.4842194279738337e-07,3.4842194279738337e-07,3.65843809338212e-05,3.64599566802287e-05,5.165022138805499e-05,True,True
BCb,Delta_crit,kNN kd_tree,12,0.0379905631937495,0.0379911085516005,5.453578509964641e-07,5.453578509964641e-07,2.76760388555504e-05,2.76556681109504e-05,3.9125427862158574e-05,True,True
