transition,model,feature_set,calibration,P_min,P_max,x_at_P_min,x_at_P_max,distance_from_0,distance_from_1
AC,Logistic Regression,30,uncalibrated,1.38119526378776e-09,0.999999998205357,4.67,4.93,1.38119526378776e-09,1.794642989771944e-09
AC,Logistic Regression,30,calibrated,0.0002419184087421,0.99976463352946,4.67,4.93,0.0002419184087421,0.00023536647054001048
AC,Logistic Regression,20,uncalibrated,5.288844570173771e-09,0.999999997612045,4.67,4.93,5.288844570173771e-09,2.3879549448935222e-09
AC,Logistic Regression,20,calibrated,0.0002815696402668,0.999733594291548,4.67,4.93,0.0002815696402668,0.00026640570845204437
AC,Logistic Regression,12,uncalibrated,3.29577331222991e-10,0.999999999616154,4.67,4.93,3.29577331222991e-10,3.83845955020945e-10
AC,Logistic Regression,12,calibrated,0.0002878973726635,0.9997325157053,4.67,4.93,0.0002878973726635,0.00026748429470002666
AC,Logistic Regression C = 0.00175,30,uncalibrated,2.88013065409628e-08,0.999999982689957,4.67,4.93,2.88013065409628e-08,1.7310042954576943e-08
AC,Logistic Regression C = 0.00175,30,calibrated,0.0002399229697799,0.999766253215285,4.67,4.93,0.0002399229697799,0.00023374678471499433
AC,Logistic Regression C = 0.00175,20,uncalibrated,6.63548356358792e-08,0.999999933032658,4.67,4.93,6.63548356358792e-08,6.696734200506427e-08
AC,Logistic Regression C = 0.00175,20,calibrated,0.0002146992208188,0.999787936411287,4.67,4.93,0.0002146992208188,0.00021206358871295183
AC,Logistic Regression C = 0.00175,12,uncalibrated,2.45212735313641e-08,0.999999970502766,4.67,4.93,2.45212735313641e-08,2.949723398870674e-08
AC,Logistic Regression C = 0.00175,12,calibrated,0.0002056160699773,0.999797028103106,4.67,4.93,0.0002056160699773,0.00020297189689399975
AC,Neural Network,30,uncalibrated,0.0,1.0,4.67,4.88,0.0,0.0
AC,Neural Network,30,calibrated,0.0002123393801741,0.999836939190816,4.67,4.93,0.0002123393801741,0.00016306080918404575
AC,Neural Network,20,uncalibrated,1.62159520230388e-60,1.0,4.67,4.93,1.62159520230388e-60,0.0
AC,Neural Network,20,calibrated,0.0001592610262887,0.999836938794633,4.67,4.9,0.0001592610262887,0.00016306120536702107
AC,Neural Network,12,uncalibrated,3.33622968141967e-29,1.0,4.67,4.85,3.33622968141967e-29,0.0
AC,Neural Network,12,calibrated,0.0022358554209655,0.998323122284376,4.67,4.93,0.0022358554209655,0.00167687771562397
AC,Random Forest,30,uncalibrated,0.0,1.0,4.67,4.93,0.0,0.0
AC,Random Forest,30,calibrated,0.0001592610302382,0.999836939599383,4.67,4.93,0.0001592610302382,0.00016306040061697669
AC,Random Forest,20,uncalibrated,0.0,1.0,4.67,4.93,0.0,0.0
AC,Random Forest,20,calibrated,0.0001592610262887,0.999836938794604,4.67,4.93,0.0001592610262887,0.0001630612053959979
AC,Random Forest,12,uncalibrated,0.0011690036116422,0.998571972996512,4.67,4.93,0.0011690036116422,0.001428027003487986
AC,Random Forest,12,calibrated,0.000158057502844,0.999836829182386,4.67,4.93,0.000158057502844,0.0001631708176139668
AC,SVM (RBF),30,uncalibrated,5.43447007653932e-05,0.999999971818502,4.67,4.93,5.43447007653932e-05,2.818149802408243e-08
AC,SVM (RBF),30,calibrated,0.0001859589004828,0.999809990187542,4.67,4.93,0.0001859589004828,0.00019000981245798076
AC,SVM (RBF),20,uncalibrated,6.11693274870687e-05,0.999996750752706,4.67,4.93,6.11693274870687e-05,3.249247294001556e-06
AC,SVM (RBF),20,calibrated,0.0002096107177904,0.999787729692497,4.67,4.93,0.0002096107177904,0.00021227030750303744
AC,SVM (RBF),12,uncalibrated,5.44997893580844e-05,0.999999968347285,4.67,4.93,5.44997893580844e-05,3.1652715004604204e-08
AC,SVM (RBF),12,calibrated,0.000186780421644,0.999809202820878,4.67,4.93,0.000186780421644,0.00019079717912195981
AC,kNN,30,uncalibrated,0.0,1.0,4.67,4.85,0.0,0.0
AC,kNN,30,calibrated,0.0001592610262887,0.999836938794608,4.67,4.86,0.0001592610262887,0.00016306120539200109
AC,kNN,20,uncalibrated,0.0,1.0,4.67,4.86,0.0,0.0
AC,kNN,20,calibrated,0.0001592610262887,0.999836938794608,4.67,4.86,0.0001592610262887,0.00016306120539200109
AC,kNN,12,uncalibrated,0.0,1.0,4.67,4.85,0.0,0.0
AC,kNN,12,calibrated,0.0001592610262887,0.999836938794608,4.67,4.86,0.0001592610262887,0.00016306120539200109
AC,kNN ball_tree,30,uncalibrated,0.0,1.0,4.67,4.85,0.0,0.0
AC,kNN ball_tree,30,calibrated,0.0001592610262887,0.999836938794608,4.67,4.86,0.0001592610262887,0.00016306120539200109
AC,kNN ball_tree,20,uncalibrated,0.0,1.0,4.67,4.86,0.0,0.0
AC,kNN ball_tree,20,calibrated,0.0001592610262887,0.999836938794608,4.67,4.86,0.0001592610262887,0.00016306120539200109
AC,kNN ball_tree,12,uncalibrated,0.0,1.0,4.67,4.85,0.0,0.0
AC,kNN ball_tree,12,calibrated,0.0001592610262887,0.999836938794608,4.67,4.86,0.0001592610262887,0.00016306120539200109
AC,kNN kd_tree,30,uncalibrated,0.0,1.0,4.67,4.85,0.0,0.0
AC,kNN kd_tree,30,calibrated,0.0001592610262887,0.999836938794608,4.67,4.86,0.0001592610262887,0.00016306120539200109
AC,kNN kd_tree,20,uncalibrated,0.0,1.0,4.67,4.86,0.0,0.0
AC,kNN kd_tree,20,calibrated,0.0001592610262887,0.999836938794608,4.67,4.86,0.0001592610262887,0.00016306120539200109
AC,kNN kd_tree,12,uncalibrated,0.0,1.0,4.67,4.85,0.0,0.0
AC,kNN kd_tree,12,calibrated,0.0001592610262887,0.999836938794608,4.67,4.86,0.0001592610262887,0.00016306120539200109
BCb,Decision Tree,30,uncalibrated,0.0,1.0,0.036,0.039,0.0,0.0
BCb,Decision Tree,30,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,Decision Tree,20,uncalibrated,0.0,1.0,0.036,0.0394,0.0,0.0
BCb,Decision Tree,20,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,Decision Tree,12,uncalibrated,0.0,1.0,0.036,0.039,0.0,0.0
BCb,Decision Tree,12,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,Gradient Boosted Trees,30,uncalibrated,2.32127408636935e-05,0.999979423407847,0.036,0.0398,2.32127408636935e-05,2.0576592153043194e-05
BCb,Gradient Boosted Trees,30,calibrated,0.0002216508527041,0.999804824737267,0.036,0.0402,0.0002216508527041,0.00019517526273304941
BCb,Gradient Boosted Trees,20,uncalibrated,2.32127408636935e-05,0.999979423407847,0.036,0.0398,2.32127408636935e-05,2.0576592153043194e-05
BCb,Gradient Boosted Trees,20,calibrated,0.0002216508527041,0.999804824737267,0.036,0.0402,0.0002216508527041,0.00019517526273304941
BCb,Gradient Boosted Trees,12,uncalibrated,2.32127408636935e-05,0.999979423407847,0.036,0.0398,2.32127408636935e-05,2.0576592153043194e-05
BCb,Gradient Boosted Trees,12,calibrated,0.0002216508527041,0.999804824737267,0.036,0.0402,0.0002216508527041,0.00019517526273304941
BCb,Logistic Regression,30,uncalibrated,1.51080492712323e-09,0.999999999355373,0.036,0.041,1.51080492712323e-09,6.446270184312652e-10
BCb,Logistic Regression,30,calibrated,0.0001505817553341,0.999801558214177,0.036,0.041,0.0001505817553341,0.0001984417858229559
BCb,Logistic Regression,20,uncalibrated,9.31546726531331e-10,0.999999998477953,0.036,0.041,9.31546726531331e-10,1.5220470439558653e-09
BCb,Logistic Regression,20,calibrated,9.28760074652651e-05,0.999824514705527,0.036,0.041,9.28760074652651e-05,0.00017548529447297678
BCb,Logistic Regression,12,uncalibrated,5.5113503653637405e-09,0.999999996920715,0.036,0.041,5.5113503653637405e-09,3.079285049167879e-09
BCb,Logistic Regression,12,calibrated,0.0001453916513006,0.999801945229325,0.036,0.041,0.0001453916513006,0.00019805477067502686
BCb,Logistic Regression C = 0.00175,30,uncalibrated,1.7089258357724e-09,0.999999999264718,0.036,0.041,1.7089258357724e-09,7.35281946440125e-10
BCb,Logistic Regression C = 0.00175,30,calibrated,0.0001515072639935,0.999802111056573,0.036,0.041,0.0001515072639935,0.0001978889434269826
BCb,Logistic Regression C = 0.00175,20,uncalibrated,1.03536559288583e-09,0.999999998196919,0.036,0.041,1.03536559288583e-09,1.8030810178260026e-09
BCb,Logistic Regression C = 0.00175,20,calibrated,9.26453444487476e-05,0.999823589478704,0.036,0.041,9.26453444487476e-05,0.00017641052129602208
BCb,Logistic Regression C = 0.00175,12,uncalibrated,2.6301334001558104e-09,0.999999998565394,0.036,0.041,2.6301334001558104e-09,1.4346059895586905e-09
BCb,Logistic Regression C = 0.00175,12,calibrated,0.0001452282013476,0.99980213315606,0.036,0.041,0.0001452282013476,0.00019786684393996445
BCb,Neural Network,30,uncalibrated,0.0,1.0,0.036,0.0386,0.0,0.0
BCb,Neural Network,30,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,Neural Network,20,uncalibrated,0.0,1.0,0.036,0.0382,0.0,0.0
BCb,Neural Network,20,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,Neural Network,12,uncalibrated,0.0,1.0,0.036,0.039,0.0,0.0
BCb,Neural Network,12,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,Random Forest,30,uncalibrated,0.0,1.0,0.036,0.0398,0.0,0.0
BCb,Random Forest,30,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,Random Forest,20,uncalibrated,0.0,1.0,0.036,0.0398,0.0,0.0
BCb,Random Forest,20,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,Random Forest,12,uncalibrated,4.43592746371408e-07,1.0,0.036,0.041,4.43592746371408e-07,0.0
BCb,Random Forest,12,calibrated,0.0002216452290424,0.999804824628713,0.036,0.041,0.0002216452290424,0.00019517537128699303
BCb,SVM (RBF),30,uncalibrated,4.83597009848224e-05,0.999999995451344,0.036,0.041,4.83597009848224e-05,4.5486560074081694e-09
BCb,SVM (RBF),30,calibrated,0.0002213392367022,0.999808222637009,0.036,0.041,0.0002213392367022,0.0001917773629910302
BCb,SVM (RBF),20,uncalibrated,4.91262768563628e-05,0.99999999517018,0.036,0.041,4.91262768563628e-05,4.82981998839449e-09
BCb,SVM (RBF),20,calibrated,0.0002156924178226,0.999807435104046,0.036,0.041,0.0002156924178226,0.00019256489595398385
BCb,SVM (RBF),12,uncalibrated,4.85225032554658e-05,0.999999995516486,0.036,0.041,4.85225032554658e-05,4.483514004505196e-09
BCb,SVM (RBF),12,calibrated,0.0002216201873367,0.999809635913271,0.036,0.041,0.0002216201873367,0.00019036408672901128
BCb,kNN,30,uncalibrated,0.0,1.0,0.036,0.039,0.0,0.0
BCb,kNN,30,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
