stride,feature_set,n_features,model,Delta,chi,chi_err
1000,30,30,Spectral,-0.118,0,0
1000,30,30,Spectral,-0.116,0,0
1000,30,30,Spectral,-0.114,0,0
1000,30,30,Spectral,-0.112,0,0
1000,30,30,Spectral,-0.11,0,0
1000,30,30,Spectral,-0.108,0,0
500,30,30,Spectral,-0.128,0,0
500,30,30,Spectral,-0.126,0,0
500,30,30,Spectral,-0.124,0,0
500,30,30,Spectral,-0.122,0,0
500,30,30,Spectral,-0.12,0,0
500,30,30,Spectral,-0.118,0,0
500,30,30,Spectral,-0.116,0,0
500,30,30,Spectral,-0.114,0,0
500,30,30,Spectral,-0.112,0,0
500,30,30,Spectral,-0.11,0,0
500,30,30,Spectral,-0.108,0,0
250,30,30,Spectral,-0.128,0,0
250,30,30,Spectral,-0.126,0,0
250,30,30,Spectral,-0.124,0,0
250,30,30,Spectral,-0.122,0,0
250,30,30,Spectral,-0.12,0,0
250,30,30,Spectral,-0.118,0,0
250,30,30,Spectral,-0.116,0,0
250,30,30,Spectral,-0.114,0,0
250,30,30,Spectral,-0.112,0,0
250,30,30,Spectral,-0.11,0,0
250,30,30,Spectral,-0.108,0,0
100,30,30,Spectral,-0.128,0,0
100,30,30,Spectral,-0.126,0,0
100,30,30,Spectral,-0.124,0,0
100,30,30,Spectral,-0.122,0,0
100,30,30,Spectral,-0.12,0,0
100,30,30,Spectral,-0.118,0,0
100,30,30,Spectral,-0.116,0,0
100,30,30,Spectral,-0.114,0,0
100,30,30,Spectral,-0.112,0,0
100,30,30,Spectral,-0.11,0,0
100,30,30,Spectral,-0.108,0,0
50,30,30,Spectral,-0.128,0,0
50,30,30,Spectral,-0.126,0,0
50,30,30,Spectral,-0.124,0,0
50,30,30,Spectral,-0.122,0,0
50,30,30,Spectral,-0.12,0,0
50,30,30,Spectral,-0.118,0,0
50,30,30,Spectral,-0.116,0,0
50,30,30,Spectral,-0.114,0,0
50,30,30,Spectral,-0.112,0,0
50,30,30,Spectral,-0.11,0,0
50,30,30,Spectral,-0.108,0,0
5000,30,30,GaussianMixture,-0.128,0,0
5000,30,30,GaussianMixture,-0.126,0,0
5000,30,30,GaussianMixture,-0.124,0,0
5000,30,30,GaussianMixture,-0.122,0,0
5000,30,30,GaussianMixture,-0.12,0,0
5000,30,30,GaussianMixture,-0.118,0,0
5000,30,30,GaussianMixture,-0.116,0,0
5000,30,30,GaussianMixture,-0.114,0.1,0.1
5000,30,30,GaussianMixture,-0.112,0.3,0.0816496580927726
5000,30,30,GaussianMixture,-0.11,0,0
5000,30,30,GaussianMixture,-0.108,0.25,0.25
1000,30,30,GaussianMixture,-0.128,0,0
1000,30,30,GaussianMixture,-0.126,0,0
1000,30,30,GaussianMixture,-0.124,0,0
1000,30,30,GaussianMixture,-0.122,0,0
1000,30,30,GaussianMixture,-0.12,0,0
1000,30,30,GaussianMixture,-0.118,0,0
1000,30,30,GaussianMixture,-0.116,0,0
1000,30,30,GaussianMixture,-0.114,0,0
1000,30,30,GaussianMixture,-0.112,0,0
1000,30,30,GaussianMixture,-0.11,0,0
1000,30,30,GaussianMixture,-0.108,0,0
500,30,30,GaussianMixture,-0.128,0,0
500,30,30,GaussianMixture,-0.126,0,0
500,30,30,GaussianMixture,-0.124,0,0
500,30,30,GaussianMixture,-0.122,0,0
500,30,30,GaussianMixture,-0.12,0,0
500,30,30,GaussianMixture,-0.118,0,0
500,30,30,GaussianMixture,-0.116,0,0
500,30,30,GaussianMixture,-0.114,0,0
500,30,30,GaussianMixture,-0.112,0,0
500,30,30,GaussianMixture,-0.11,0,0
500,30,30,GaussianMixture,-0.108,0,0
250,30,30,GaussianMixture,-0.128,0,0
250,30,30,GaussianMixture,-0.126,0,0
250,30,30,GaussianMixture,-0.124,0,0
250,30,30,GaussianMixture,-0.122,0,0
250,30,30,GaussianMixture,-0.12,0,0
250,30,30,GaussianMixture,-0.118,0,0
250,30,30,GaussianMixture,-0.116,0,0
250,30,30,GaussianMixture,-0.114,0,0
250,30,30,GaussianMixture,-0.112,0,0
250,30,30,GaussianMixture,-0.11,0,0
250,30,30,GaussianMixture,-0.108,0,0
5000,30,30,MeanShift,-0.128,0,0
5000,30,30,MeanShift,-0.126,0,0
5000,30,30,MeanShift,-0.124,0,0
5000,30,30,MeanShift,-0.122,0,0
5000,30,30,MeanShift,-0.12,0,0
5000,30,30,MeanShift,-0.118,0,0
5000,30,30,MeanShift,-0.116,0,0
5000,30,30,MeanShift,-0.114,0.166666666666667,0.166666666666667
5000,30,30,MeanShift,-0.112,0,0
5000,30,30,MeanShift,-0.11,0.266666666666667,0.105409255338946
5000,30,30,MeanShift,-0.108,0.142857142857143,0.142857142857143
1000,30,30,MeanShift,-0.128,0,0
1000,30,30,MeanShift,-0.126,0,0
1000,30,30,MeanShift,-0.124,0,0
1000,30,30,MeanShift,-0.122,0,0
1000,30,30,MeanShift,-0.12,0,0
1000,30,30,MeanShift,-0.118,0,0
1000,30,30,MeanShift,-0.116,0,0
1000,30,30,MeanShift,-0.114,0.213576494427558,0.0900155357381449
1000,30,30,MeanShift,-0.112,0.1625,0.0719844441812371
