stride,feature_set,n_features,model,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
5000,12,12,Agglomerative,-0.127,0,-0.112,11,0.072,0.016,0.024,0.0094,0.008,0.00025,0.129
1000,12,12,Agglomerative,-0.127,0,-0.128,11,0.087,0.235,0.336,0.0092,0.0086,0.00027,0.677
500,12,12,Agglomerative,-0.127,0,-0.128,11,0.079,0.428,0.837,0.01,0.0097,0.0003,1.364
250,12,12,Agglomerative,-0.127,0,-0.128,11,0.164,0.561,1.167,0.0092,0.0089,0.00028,1.911
100,12,12,Agglomerative,-0.127,0,-0.128,11,0.756,0.594,1.169,0.0101,0.0096,0.00029,2.539
50,12,12,Agglomerative,-0.127,0,-0.128,11,3.406,0.636,1.337,0.0096,0.0092,0.00028,5.397
10,12,12,Agglomerative,-0.127,0,-0.128,11,86.969,0.77,1.613,0.0093,0.0087,0.00027,89.37
5000,12,12,Spectral,-0.117,0,-0.128,11,0.202,0.016,0.015,0.0098,0.0113,0.0003,0.255
1000,12,12,Spectral,-0.127,0,-0.128,11,0.28,0.199,0.426,0.01,0.0095,0.00028,0.924
500,12,12,Spectral,-0.127,0,-0.128,11,0.301,0.396,0.88,0.0108,0.0098,0.0003,1.599
250,12,12,Spectral,-0.127,0,-0.128,11,0.374,0.591,1.299,0.0085,0.008,0.00025,2.281
100,12,12,Spectral,-0.123,0,-0.128,11,0.898,0.575,0.773,0.0089,0.0079,0.00024,2.263
50,12,12,Spectral,-0.127,0,-0.128,11,3.588,0.594,1.226,0.0092,0.0098,0.00037,5.428
5000,12,12,GaussianMixture,-0.127,0,-0.112,11,0.183,0.02,0.027,0.0105,0.0098,0.00029,0.251
1000,12,12,GaussianMixture,-0.127,1.24666688768918E-47,-0.128,11,0.266,0.202,0.375,0.0096,0.009,0.00026,0.862
500,12,12,GaussianMixture,-0.127,6.07736360394918E-45,-0.128,11,0.319,0.419,0.844,0.0097,0.0094,0.00029,1.602
250,12,12,GaussianMixture,-0.127,7.26210698336261E-46,-0.128,11,0.308,0.556,1.075,0.0084,0.0079,0.00025,1.955
5000,12,12,MeanShift,-0.114875,0.000140625,-0.112,11,0.357,0.015,0.016,0.0093,0.0089,0.00029,0.407
1000,12,12,MeanShift,-0.114829268292683,0.000134942980404596,-0.112,11,0.985,0.175,0.232,0.0096,0.0091,0.00029,1.411
500,12,12,MeanShift,-0.114850574712644,0.000124639729581935,-0.114,11,2.025,0.42,0.573,0.0095,0.009,0.0003,3.037
250,12,12,MeanShift,-0.114837209302326,0.000133849309581012,-0.114,11,4.713,0.564,0.947,0.0138,0.0122,0.00034,6.251
100,12,12,MeanShift,-0.114855835240275,0.000117431643828107,-0.114,11,13.888,0.588,1.002,0.0124,0.0127,0.00043,15.504
50,12,12,MeanShift,-0.114859749144812,0.000109798480843609,-0.114,11,36.047,0.608,1.021,0.0094,0.0085,0.00026,37.694
10,12,12,MeanShift,-0.114863378040464,0.000109598095772306,-0.112,11,662.664,0.729,1.163,0.0089,0.0084,0.00027,664.574
5000,12,12,Birch,-0.127,0,-0.112,11,0.064,0.026,0.026,0.01,0.0094,0.00029,0.136
1000,12,12,Birch,-0.127,0,-0.128,11,0.165,0.207,0.377,0.0101,0.0096,0.00029,0.768
500,12,12,Birch,-0.127,0,-0.128,11,0.23,0.417,0.861,0.01,0.0092,0.00029,1.527
250,12,12,Birch,-0.127,0,-0.128,11,0.379,0.5,1.071,0.0087,0.0082,0.00026,1.967
100,12,12,Birch,-0.127,0,-0.128,11,1.21,0.567,1.229,0.0089,0.0084,0.00026,3.023
50,12,12,Birch,-0.127,0,-0.128,11,4.516,0.644,1.379,0.0103,0.0093,0.00028,6.559
10,12,12,Birch,-0.127,0,-0.128,11,139.011,0.699,1.549,0.0089,0.0088,0.00024,141.278
5000,12,12,BayesianGMM,-0.127,4.46193957995961E-42,-0.114,11,4.172,0.023,0.025,0.009,0.0085,0.00026,4.238
1000,12,12,BayesianGMM,-0.127,4.26787633524034E-44,-0.128,11,0.2,0.187,0.337,0.0093,0.0084,0.00025,0.742
500,12,12,BayesianGMM,-0.127,4.88870217484791E-44,-0.128,11,0.35,0.383,0.814,0.0089,0.0085,0.00026,1.565
250,12,12,BayesianGMM,-0.127,1.03581958501111E-45,-0.128,11,0.262,0.559,1.145,0.01,0.0093,0.00027,1.985
