stride,feature_set,n_features,model,Delta,mean,mean_err
5000,30,30,BayesianGMM,-0.122,1,0
5000,30,30,BayesianGMM,-0.12,1,0
5000,30,30,BayesianGMM,-0.118,1.49506683777341E-58,1.40328149995543E-58
5000,30,30,BayesianGMM,-0.116,2.74769006249703E-202,0
5000,30,30,BayesianGMM,-0.114,0.9,0.1
5000,30,30,BayesianGMM,-0.112,0.5,0.288675134594813
5000,30,30,BayesianGMM,-0.11,1,0
5000,30,30,BayesianGMM,-0.108,0.666666666700805,0.333333333299195
1000,30,30,BayesianGMM,-0.128,1,0
1000,30,30,BayesianGMM,-0.126,3.23199438952358E-234,0
1000,30,30,BayesianGMM,-0.124,5.00337522973465E-216,0
1000,30,30,BayesianGMM,-0.122,1,0
1000,30,30,BayesianGMM,-0.12,1,0
1000,30,30,BayesianGMM,-0.118,8.21630003346909E-173,0
1000,30,30,BayesianGMM,-0.116,0,0
1000,30,30,BayesianGMM,-0.114,1,0
1000,30,30,BayesianGMM,-0.112,1,0
1000,30,30,BayesianGMM,-0.11,1,0
1000,30,30,BayesianGMM,-0.108,1,0
500,30,30,BayesianGMM,-0.128,1,0
500,30,30,BayesianGMM,-0.126,0,0
500,30,30,BayesianGMM,-0.124,0,0
500,30,30,BayesianGMM,-0.122,1,0
500,30,30,BayesianGMM,-0.12,1,0
500,30,30,BayesianGMM,-0.118,7.32e-321,0
500,30,30,BayesianGMM,-0.116,0,0
500,30,30,BayesianGMM,-0.114,1,0
500,30,30,BayesianGMM,-0.112,1,0
500,30,30,BayesianGMM,-0.11,1,0
500,30,30,BayesianGMM,-0.108,1,0
250,30,30,BayesianGMM,-0.128,1,0
250,30,30,BayesianGMM,-0.126,0,0
250,30,30,BayesianGMM,-0.124,0,0
250,30,30,BayesianGMM,-0.122,1,0
250,30,30,BayesianGMM,-0.12,1,0
250,30,30,BayesianGMM,-0.118,0,0
250,30,30,BayesianGMM,-0.116,0,0
250,30,30,BayesianGMM,-0.114,1,0
250,30,30,BayesianGMM,-0.112,1,0
250,30,30,BayesianGMM,-0.11,1,0
250,30,30,BayesianGMM,-0.108,1,0
5000,20,20,KMeans,-0.128,0,0
5000,20,20,KMeans,-0.126,1,0
5000,20,20,KMeans,-0.124,1,0
5000,20,20,KMeans,-0.122,0,0
5000,20,20,KMeans,-0.12,0,0
5000,20,20,KMeans,-0.118,1,0
5000,20,20,KMeans,-0.116,1,0
5000,20,20,KMeans,-0.114,0.333333333333333,0.333333333333333
5000,20,20,KMeans,-0.112,0.5,0.288675134594813
5000,20,20,KMeans,-0.11,0.25,0.25
5000,20,20,KMeans,-0.108,0.333333333333333,0.333333333333333
1000,20,20,KMeans,-0.128,1,0
1000,20,20,KMeans,-0.126,0,0
1000,20,20,KMeans,-0.124,0,0
1000,20,20,KMeans,-0.122,1,0
1000,20,20,KMeans,-0.12,1,0
1000,20,20,KMeans,-0.118,0,0
1000,20,20,KMeans,-0.116,0,0
1000,20,20,KMeans,-0.114,0.729166666666667,0.150231303144333
