stride,feature_set,n_features,model,K0,mean,mean_err
1,12,12,MeanShift,4.77,0.6833549129621634,0.0156891140813224
1,12,12,MeanShift,4.78,0.8736111111111111,0.007933096985274883
1,12,12,MeanShift,4.79,0.9698316498316469,0.0032293001489407495
1,12,12,MeanShift,4.81,0.9993612672458008,0.0003260294582035468
1,12,12,MeanShift,4.82,0.9998621070049749,0.00013789299503590513
1,12,12,MeanShift,4.83,1.0,0.0
1,12,12,MeanShift,4.84,1.0,0.0
1,12,12,MeanShift,4.85,1.0,0.0
1,12,12,MeanShift,4.86,1.0,0.0
1,12,12,MeanShift,4.87,1.0,0.0
1,12,12,MeanShift,4.88,1.0,0.0
1,12,12,MeanShift,4.9,1.0,0.0
1,12,12,MeanShift,4.93,1.0,0.0
1,12,12,Birch,4.67,0.0,0.0
1,12,12,Birch,4.7,0.0,0.0
1,12,12,Birch,4.72,0.0,0.0
1,12,12,Birch,4.73,0.001532958610117523,0.0005734119649328383
1,12,12,Birch,4.74,0.016842105263157894,0.0025000887831383334
1,12,12,Birch,4.75,0.07718643012760659,0.005155781653610025
1,12,12,Birch,4.76,0.23324356672651106,0.0129492630181805
1,12,12,Birch,4.77,0.49820169759746796,0.014997108898314477
1,12,12,Birch,4.78,0.7579166666666662,0.012466389999900943
1,12,12,Birch,4.79,0.9163061114115738,0.005370997843619019
1,12,12,Birch,4.81,0.9961759082217989,0.0007693573768288366
1,12,12,Birch,4.82,0.9997275204359664,0.0002724795640326683
1,12,12,Birch,4.83,1.0,0.0
1,12,12,Birch,4.84,1.0,0.0
1,12,12,Birch,4.85,1.0,0.0
1,12,12,Birch,4.86,1.0,0.0
1,12,12,Birch,4.87,1.0,0.0
1,12,12,Birch,4.88,1.0,0.0
1,12,12,Birch,4.9,1.0,0.0
1,12,12,Birch,4.93,1.0,0.0
1,12,12,BayesianGMM,4.67,1.8518443299581932e-133,1.6682299514255828e-133
1,12,12,BayesianGMM,4.7,7.560995385748023e-76,6.663672808739666e-76
1,12,12,BayesianGMM,4.72,1.0794181618840774e-34,1.079350386407241e-34
1,12,12,BayesianGMM,4.73,6.603968554069504e-17,6.603968492435545e-17
1,12,12,BayesianGMM,4.74,7.81657365733461e-05,7.816539509043062e-05
1,12,12,BayesianGMM,4.75,0.0006347228957900848,0.00038383170802838983
1,12,12,BayesianGMM,4.76,0.002543597257907568,0.0009177218538208995
1,12,12,BayesianGMM,4.77,0.023659455610713986,0.0029868104030778336
1,12,12,BayesianGMM,4.78,0.09201917448848766,0.007044672014230932
1,12,12,BayesianGMM,4.79,0.25888542464574,0.015046469777968766
1,12,12,BayesianGMM,4.81,0.7676274216406691,0.02235018756141033
1,12,12,BayesianGMM,4.82,0.9222639523735022,0.008248602367572537
1,12,12,BayesianGMM,4.83,0.9816847081913204,0.002392617452907077
1,12,12,BayesianGMM,4.84,0.9967361640769303,0.0013270514055866989
1,12,12,BayesianGMM,4.85,0.9998718000811048,0.0001166424571581643
1,12,12,BayesianGMM,4.86,0.9999999731336059,2.654793865640209e-08
1,12,12,BayesianGMM,4.87,0.9999999999999429,5.219648345075242e-14
1,12,12,BayesianGMM,4.88,1.0,0.0
1,12,12,BayesianGMM,4.9,1.0,0.0
1,12,12,BayesianGMM,4.93,1.0,0.0
