stride,feature_set,n_features,model,Delta,chi,chi_err
50,12,12,Spectral,0.037,0.000526315789473674,0.000526315789473685
50,12,12,Spectral,0.0374,0.00100250655984873,0.0010019196616468
50,12,12,Spectral,0.0378,0.0667447548612704,0.0213303374769032
50,12,12,Spectral,0.0382,0.191187659896014,0.0454534534534535
50,12,12,Spectral,0.0386,0.00471233595930196,0.00417370194999172
50,12,12,Spectral,0.039,0,0
50,12,12,Spectral,0.0394,0,0
50,12,12,Spectral,0.0398,0,0
50,12,12,Spectral,0.0402,0,0
50,12,12,Spectral,0.041,0,0
500,12,12,GaussianMixture,0.036,0,0
500,12,12,GaussianMixture,0.0366,0,0
500,12,12,GaussianMixture,0.037,2.56896833878725E-15,2.56690208760757E-15
500,12,12,GaussianMixture,0.0374,6.00758530560132E-06,6.00679814507485E-06
500,12,12,GaussianMixture,0.0378,0.0672413530869367,0.0246982471775366
500,12,12,GaussianMixture,0.0382,0.166137176719612,0.0455153613466134
500,12,12,GaussianMixture,0.0386,0.00508224106300666,0.00508223798471346
500,12,12,GaussianMixture,0.039,0,0
500,12,12,GaussianMixture,0.0394,0,0
500,12,12,GaussianMixture,0.0398,0,0
500,12,12,GaussianMixture,0.0402,0,0
500,12,12,GaussianMixture,0.041,0,0
100,12,12,MeanShift,0.036,0,0
100,12,12,MeanShift,0.0366,0,0
100,12,12,MeanShift,0.037,0,0
100,12,12,MeanShift,0.0374,0,0
100,12,12,MeanShift,0.0378,0,0
100,12,12,MeanShift,0.0382,0.0756097539462025,0.0658636839893013
100,12,12,MeanShift,0.0386,0.247945031978842,0.0983005635451472
100,12,12,MeanShift,0.039,0.00619557611333184,0.00372908444746086
100,12,12,MeanShift,0.0394,0,0
100,12,12,MeanShift,0.0398,0,0
100,12,12,MeanShift,0.0402,0,0
100,12,12,MeanShift,0.041,0,0
10,12,12,DBSCAN,0.036,0,0
10,12,12,DBSCAN,0.0366,0,0
10,12,12,DBSCAN,0.037,0,0
10,12,12,DBSCAN,0.0374,0,0
10,12,12,DBSCAN,0.0378,0,0
10,12,12,DBSCAN,0.0382,0,0
10,12,12,DBSCAN,0.0386,0,0
10,12,12,DBSCAN,0.039,4.739336492891E-05,4.73933649289099E-05
10,12,12,DBSCAN,0.0394,0,0
10,12,12,DBSCAN,0.0398,0,0
10,12,12,DBSCAN,0.0402,0,0
10,12,12,DBSCAN,0.041,0.00048079489024005,0.000320358554835417
50,12,12,Birch,0.036,0,0
50,12,12,Birch,0.0366,0,0
50,12,12,Birch,0.037,0,0
50,12,12,Birch,0.0374,0,0
50,12,12,Birch,0.0378,0.00100908225014581,0.00100806246114016
50,12,12,Birch,0.0382,0.0580214747013146,0.0441441441441441
50,12,12,Birch,0.0386,0.189806907062049,0.0756971805673446
50,12,12,Birch,0.039,0.0817203254426014,0.0347281874946815
50,12,12,Birch,0.0394,0.00774995981985393,0.00467659121801345
50,12,12,Birch,0.0398,0,0
50,12,12,Birch,0.0402,0,0
50,12,12,Birch,0.041,0,0
1000,12,12,BayesianGMM,0.036,0,0
1000,12,12,BayesianGMM,0.0366,0,0
1000,12,12,BayesianGMM,0.037,0,0
1000,12,12,BayesianGMM,0.0374,3.43520775723493E-19,3.43417382115786E-19
1000,12,12,BayesianGMM,0.0378,6.27674337729127E-08,6.27681937997253E-08
1000,12,12,BayesianGMM,0.0382,0.169379600238166,0.095045853600881
1000,12,12,BayesianGMM,0.0386,0.206456841156305,0.0455983447431154
1000,12,12,BayesianGMM,0.039,9.64378907114747E-11,9.57113032895095E-11
1000,12,12,BayesianGMM,0.0394,3.41480562101059E-29,3.40672818886934E-29
1000,12,12,BayesianGMM,0.0398,0,0
1000,12,12,BayesianGMM,0.0402,0,0
1000,12,12,BayesianGMM,0.041,0,0
