stride,feature_set,n_features,model,Delta,mean,mean_err
1000,20,20,BayesianGMM,0.0382,0.584623292322039,0.16833505364139
1000,20,20,BayesianGMM,0.0386,0.943339864299005,0.0442433751816401
1000,20,20,BayesianGMM,0.039,0.999999999999978,2.20101539628238E-15
1000,20,20,BayesianGMM,0.0394,1,0
1000,20,20,BayesianGMM,0.0398,1,0
1000,20,20,BayesianGMM,0.0402,1,0
1000,20,20,BayesianGMM,0.041,1,0
1,12,12,KMeans,0.036,0,0
1,12,12,KMeans,0.0366,0,0
1,12,12,KMeans,0.037,0,0
1,12,12,KMeans,0.0374,0.000140001400014,0.000140001400014
1,12,12,KMeans,0.0378,0.0443617514773804,0.0187290411728363
1,12,12,KMeans,0.0382,0.69401,0.12459
1,12,12,KMeans,0.0386,0.985793146547236,0.0088095710088474
1,12,12,KMeans,0.039,1,0
1,12,12,KMeans,0.0394,1,0
1,12,12,KMeans,0.0398,1,0
1,12,12,KMeans,0.0402,1,0
1,12,12,KMeans,0.041,1,0
50,12,12,Agglomerative,0.036,0,0
50,12,12,Agglomerative,0.0366,0,0
50,12,12,Agglomerative,0.037,0,0
50,12,12,Agglomerative,0.0374,0,0
50,12,12,Agglomerative,0.0378,0,0
50,12,12,Agglomerative,0.0382,0.052,0.052
50,12,12,Agglomerative,0.0386,0.23125,0.160416666666667
50,12,12,Agglomerative,0.039,0.943192272309108,0.0384084636614536
50,12,12,Agglomerative,0.0394,0.995846313603323,0.00311526479750779
50,12,12,Agglomerative,0.0398,1,0
50,12,12,Agglomerative,0.0402,1,0
50,12,12,Agglomerative,0.041,1,0
50,12,12,Spectral,0.036,0,0
50,12,12,Spectral,0.0366,0,0
50,12,12,Spectral,0.037,0.000526315789473663,0.000526315789473684
50,12,12,Spectral,0.0374,0.00100250626566416,0.00100250626566416
50,12,12,Spectral,0.0378,0.0712121212121212,0.0245661320004342
50,12,12,Spectral,0.0382,0.758,0.0903659227806588
50,12,12,Spectral,0.0386,0.995283018867924,0.00419479854622582
50,12,12,Spectral,0.039,1,0
50,12,12,Spectral,0.0394,1,0
50,12,12,Spectral,0.0398,1,0
50,12,12,Spectral,0.0402,1,0
50,12,12,Spectral,0.041,1,0
500,12,12,GaussianMixture,0.036,3.29351099328663E-31,3.2725382810221E-31
500,12,12,GaussianMixture,0.0366,4.15318215883205E-15,4.15309982366517E-15
500,12,12,GaussianMixture,0.037,3.73281795657608E-09,3.73024714645208E-09
500,12,12,GaussianMixture,0.0374,0.00020213889474948,0.000198110251362389
500,12,12,GaussianMixture,0.0378,0.0889045804388013,0.0347745355365089
500,12,12,GaussianMixture,0.0382,0.764766421664853,0.0928209248630062
500,12,12,GaussianMixture,0.0386,0.992748891630998,0.00723838640602671
500,12,12,GaussianMixture,0.039,1,0
500,12,12,GaussianMixture,0.0394,1,0
500,12,12,GaussianMixture,0.0398,1,0
500,12,12,GaussianMixture,0.0402,1,0
