stride,feature_set,n_features,model,Delta,chi,chi_err
100,30,30,Spectral,0.0382,0.0332621546031157,0.0193105698613252
100,30,30,Spectral,0.0386,0,0
100,30,30,Spectral,0.039,0,0
100,30,30,Spectral,0.0394,0,0
100,30,30,Spectral,0.0398,0,0
100,30,30,Spectral,0.0402,0,0
100,30,30,Spectral,0.041,0,0
50,30,30,Spectral,0.036,0,0
50,30,30,Spectral,0.0366,0,0
50,30,30,Spectral,0.037,0,0
50,30,30,Spectral,0.0374,0.0160002483724345,0.0155035035035035
50,30,30,Spectral,0.0378,0.245399739683259,0.0140444333591729
50,30,30,Spectral,0.0382,0.029960786425231,0.0188396642613448
50,30,30,Spectral,0.0386,0,0
50,30,30,Spectral,0.039,0,0
50,30,30,Spectral,0.0394,0,0
50,30,30,Spectral,0.0398,0,0
50,30,30,Spectral,0.0402,0,0
50,30,30,Spectral,0.041,0,0
5000,30,30,GaussianMixture,0.036,0,0
5000,30,30,GaussianMixture,0.0366,0,0
5000,30,30,GaussianMixture,0.037,0,0
5000,30,30,GaussianMixture,0.0374,2.43989029768286E-18,2.43989029767795E-18
5000,30,30,GaussianMixture,0.0378,0.111705217057962,0.101010062917251
5000,30,30,GaussianMixture,0.0382,0.209994002616789,0.0820562793475798
5000,30,30,GaussianMixture,0.0386,6.55168871987587E-07,6.55167262970321E-07
5000,30,30,GaussianMixture,0.039,0,0
5000,30,30,GaussianMixture,0.0394,0,0
5000,30,30,GaussianMixture,0.0398,0,0
5000,30,30,GaussianMixture,0.0402,0,0
5000,30,30,GaussianMixture,0.041,0,0
1000,30,30,GaussianMixture,0.036,0,0
1000,30,30,GaussianMixture,0.0366,0,0
1000,30,30,GaussianMixture,0.037,0,0
1000,30,30,GaussianMixture,0.0374,6.25513882435199E-05,6.25513658578777E-05
1000,30,30,GaussianMixture,0.0378,0.113769490795089,0.0352391699982648
1000,30,30,GaussianMixture,0.0382,0.115942911120563,0.0429624600096359
1000,30,30,GaussianMixture,0.0386,3.76440770922445E-10,3.76440727702451E-10
1000,30,30,GaussianMixture,0.039,0,0
1000,30,30,GaussianMixture,0.0394,0,0
1000,30,30,GaussianMixture,0.0398,0,0
1000,30,30,GaussianMixture,0.0402,0,0
1000,30,30,GaussianMixture,0.041,0,0
500,30,30,GaussianMixture,0.036,0,0
500,30,30,GaussianMixture,0.0366,0,0
500,30,30,GaussianMixture,0.037,2.67587379419202E-19,2.675873817731E-19
500,30,30,GaussianMixture,0.0374,0.00473877472231324,0.00473877476924588
500,30,30,GaussianMixture,0.0378,0.110222787853727,0.0265929590088371
500,30,30,GaussianMixture,0.0382,0.142854059652387,0.0468689838171208
500,30,30,GaussianMixture,0.0386,2.8440251276038E-07,2.82458096962605E-07
500,30,30,GaussianMixture,0.039,0,0
500,30,30,GaussianMixture,0.0394,0,0
500,30,30,GaussianMixture,0.0398,0,0
500,30,30,GaussianMixture,0.0402,0,0
500,30,30,GaussianMixture,0.041,0,0
5000,30,30,MeanShift,0.036,0,0
5000,30,30,MeanShift,0.0366,0,0
5000,30,30,MeanShift,0.037,0,0
5000,30,30,MeanShift,0.0374,0,0
5000,30,30,MeanShift,0.0378,0,0
5000,30,30,MeanShift,0.0382,0.143856143856144,0.12987012987013
5000,30,30,MeanShift,0.0386,0.276143790849673,0.0833333333333333
5000,30,30,MeanShift,0.039,0,0
5000,30,30,MeanShift,0.0394,0,0
5000,30,30,MeanShift,0.0398,0,0
5000,30,30,MeanShift,0.0402,0,0
5000,30,30,MeanShift,0.041,0,0
1000,30,30,MeanShift,0.036,0,0
1000,30,30,MeanShift,0.0366,0,0
1000,30,30,MeanShift,0.037,0,0
