feature_set,n_features,model,calibration,Delta,chi,chi_err
30,30,Neural Network,calibrated,0.0386,0.0154161697317456,0.00222594633851307
30,30,Neural Network,calibrated,0.039,2.57357945075791E-06,1.66296867268335E-06
30,30,Neural Network,calibrated,0.0394,-1.87356462734411E-30,1.34971623059732E-46
30,30,Neural Network,calibrated,0.0398,-5.01671585261726E-30,1.56363635781292E-46
30,30,Neural Network,calibrated,0.0402,-4.68391418803321E-30,1.06704437089614E-46
30,30,Neural Network,calibrated,0.041,-9.65129640057111E-30,4.33504595383288E-46
30,30,Neural Network,uncalibrated,0.036,0,0
30,30,Neural Network,uncalibrated,0.0366,0,0
30,30,Neural Network,uncalibrated,0.037,0,0
30,30,Neural Network,uncalibrated,0.0374,0.0116276137234414,0.0113180295593989
30,30,Neural Network,uncalibrated,0.0378,0.232865471544114,0.020624508944102
30,30,Neural Network,uncalibrated,0.0382,0.0428811243035136,0.0234250250889002
30,30,Neural Network,uncalibrated,0.0386,0,0
30,30,Neural Network,uncalibrated,0.039,0,0
30,30,Neural Network,uncalibrated,0.0394,0,0
30,30,Neural Network,uncalibrated,0.0398,0,0
30,30,Neural Network,uncalibrated,0.0402,0,0
30,30,Neural Network,uncalibrated,0.041,0,0
20,20,Logistic Regression,calibrated,0.036,2.13097897092588E-09,3.36686967642179E-10
20,20,Logistic Regression,calibrated,0.0366,3.83425033776385E-07,1.46220094889456E-07
20,20,Logistic Regression,calibrated,0.037,9.78808946436721E-05,6.93252952709727E-05
20,20,Logistic Regression,calibrated,0.0374,0.00522484783040661,0.00249467754153903
20,20,Logistic Regression,calibrated,0.0378,0.035537692690756,0.00706107391161617
20,20,Logistic Regression,calibrated,0.0382,0.0490702878622825,0.0111039496364706
20,20,Logistic Regression,calibrated,0.0386,0.00401062941202457,0.00140602870272806
20,20,Logistic Regression,calibrated,0.039,5.06244955569322E-06,1.52408848649465E-06
20,20,Logistic Regression,calibrated,0.0394,1.71263381215818E-07,7.85616705549901E-08
20,20,Logistic Regression,calibrated,0.0398,1.01208935973197E-08,3.08261023682766E-09
20,20,Logistic Regression,calibrated,0.0402,1.9201387952098E-08,5.85538112564699E-09
20,20,Logistic Regression,calibrated,0.041,2.74502613540276E-09,1.08824095518004E-10
20,20,Logistic Regression,uncalibrated,0.036,3.65884841919396E-18,1.31734630867134E-18
20,20,Logistic Regression,uncalibrated,0.0366,5.5323443252049E-13,4.65301376560391E-13
20,20,Logistic Regression,uncalibrated,0.037,3.82271505518447E-07,3.70121517762369E-07
20,20,Logistic Regression,uncalibrated,0.0374,0.00203559633827501,0.00174811335363335
20,20,Logistic Regression,uncalibrated,0.0378,0.0849124408917926,0.0178384478055732
20,20,Logistic Regression,uncalibrated,0.0382,0.058902420789797,0.0222532750743549
20,20,Logistic Regression,uncalibrated,0.0386,0.000194066348008658,0.000134705072822765
20,20,Logistic Regression,uncalibrated,0.039,1.15282583262773E-11,5.35186917786787E-12
20,20,Logistic Regression,uncalibrated,0.0394,1.35679643764098E-14,1.14141771772765E-14
20,20,Logistic Regression,uncalibrated,0.0398,2.44497046161963E-17,1.45529641011316E-17
20,20,Logistic Regression,uncalibrated,0.0402,5.60808927221618E-17,2.70889978328909E-17
20,20,Logistic Regression,uncalibrated,0.041,1.31273177911594E-18,9.21097818972173E-20
20,20,Logistic Regression C = 0.00175,calibrated,0.036,2.11937554826376E-09,3.34809662929411E-10
20,20,Logistic Regression C = 0.00175,calibrated,0.0366,3.81059312897641E-07,1.45288847598017E-07
20,20,Logistic Regression C = 0.00175,calibrated,0.037,9.72091650611812E-05,6.88459703835406E-05
20,20,Logistic Regression C = 0.00175,calibrated,0.0374,0.00519290690167316,0.00248058675983095
20,20,Logistic Regression C = 0.00175,calibrated,0.0378,0.0354506189271125,0.00704948777754544
20,20,Logistic Regression C = 0.00175,calibrated,0.0382,0.0492007404696363,0.0111148398731058
20,20,Logistic Regression C = 0.00175,calibrated,0.0386,0.00403181975876033,0.00141299891203674
20,20,Logistic Regression C = 0.00175,calibrated,0.039,5.09926002358787E-06,1.53470976587279E-06
20,20,Logistic Regression C = 0.00175,calibrated,0.0394,1.7266576984791E-07,7.91781063268514E-08
20,20,Logistic Regression C = 0.00175,calibrated,0.0398,1.02325307766276E-08,3.11964318162678E-09
20,20,Logistic Regression C = 0.00175,calibrated,0.0402,1.93732762427573E-08,5.90550656389161E-09
20,20,Logistic Regression C = 0.00175,calibrated,0.041,2.77400630230648E-09,1.09761013988611E-10
20,20,Logistic Regression C = 0.00175,uncalibrated,0.036,4.38519439116572E-18,1.56721134610059E-18
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0366,6.08369276374713E-13,5.09910719820729E-13
20,20,Logistic Regression C = 0.00175,uncalibrated,0.037,3.82604066826277E-07,3.7017864776174E-07
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0374,0.0019712671443222,0.00169133497706638
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0378,0.0836209074911467,0.0177547362925837
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0382,0.0596377346290527,0.0223274765059955
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0386,0.000208568521306872,0.00014414434934575
20,20,Logistic Regression C = 0.00175,uncalibrated,0.039,1.41512880550636E-11,6.55119115451364E-12
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0394,1.73861036213546E-14,1.45699232307947E-14
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0398,3.29566334708699E-17,1.9490138497057E-17
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0402,7.54936795945588E-17,3.62756598710166E-17
20,20,Logistic Regression C = 0.00175,uncalibrated,0.041,1.81119205418547E-18,1.26176381713532E-19
20,20,Decision Tree,calibrated,0.036,-1.88815482086756E-37,1.81539552609516E-53
20,20,Decision Tree,calibrated,0.0366,-3.35019307153942E-37,3.75531130402088E-53
20,20,Decision Tree,calibrated,0.037,2.93873587675071E-39,9.59019981773978E-54
20,20,Decision Tree,calibrated,0.0374,-3.35019307153942E-37,3.75531130402088E-53
20,20,Decision Tree,calibrated,0.0378,-2.08652380934504E-37,6.36008006868447E-54
20,20,Decision Tree,calibrated,0.0382,0.0944852816003659,0.0800000703876075
20,20,Decision Tree,calibrated,0.0386,0.272983383800354,0.0759504713232939
20,20,Decision Tree,calibrated,0.039,0.000297762465487193,0.000201612924801003
20,20,Decision Tree,calibrated,0.0394,-1.87356462734411E-30,1.34971623059732E-46
20,20,Decision Tree,calibrated,0.0398,-5.01671585261726E-30,1.56363635781292E-46
20,20,Decision Tree,calibrated,0.0402,-4.68391418803321E-30,1.06704437089614E-46
20,20,Decision Tree,calibrated,0.041,-9.65129640057111E-30,4.33504595383288E-46
20,20,Decision Tree,uncalibrated,0.036,0,0
20,20,Decision Tree,uncalibrated,0.0366,0,0
20,20,Decision Tree,uncalibrated,0.037,0,0
20,20,Decision Tree,uncalibrated,0.0374,0,0
20,20,Decision Tree,uncalibrated,0.0378,0,0
20,20,Decision Tree,uncalibrated,0.0382,0.0966008611388092,0.082800655124947
20,20,Decision Tree,uncalibrated,0.0386,0.288747991143593,0.0819652579496797
20,20,Decision Tree,uncalibrated,0.039,0.000427764156946106,0.000292409280665242
20,20,Decision Tree,uncalibrated,0.0394,0,0
20,20,Decision Tree,uncalibrated,0.0398,0,0
20,20,Decision Tree,uncalibrated,0.0402,0,0
20,20,Decision Tree,uncalibrated,0.041,0,0
20,20,Random Forest,calibrated,0.036,-1.88815482086756E-37,1.81539552609516E-53
20,20,Random Forest,calibrated,0.0366,2.50785419144378E-07,1.421371895788E-07
20,20,Random Forest,calibrated,0.037,5.43772463210293E-06,1.27181115249686E-07
20,20,Random Forest,calibrated,0.0374,3.15076613568829E-05,3.03176538125783E-05
20,20,Random Forest,calibrated,0.0378,0.0315954711665765,0.0104995945616117
20,20,Random Forest,calibrated,0.0382,0.0818808149133869,0.0178961157522896
20,20,Random Forest,calibrated,0.0386,0.0233444947596037,0.0050523891170358
20,20,Random Forest,calibrated,0.039,1.44071208521881E-05,8.3623261656655E-06
20,20,Random Forest,calibrated,0.0394,1.52497700823914E-08,1.49681959405658E-08
20,20,Random Forest,calibrated,0.0398,-5.01671585261726E-30,1.56363635781292E-46
20,20,Random Forest,calibrated,0.0402,-4.68391418803321E-30,1.06704437089614E-46
20,20,Random Forest,calibrated,0.041,-9.65129640057111E-30,4.33504595383288E-46
