feature_set,n_features,model,calibration,Delta,chi,chi_err
30,30,Neural Network,calibrated,0.036,1.66298784799119E-17,3.32331684315001E-18
30,30,Neural Network,calibrated,0.0366,3.58378114278654E-14,2.37719041155272E-14
30,30,Neural Network,calibrated,0.037,9.96065113299471E-08,9.93162808431046E-08
30,30,Neural Network,calibrated,0.0374,0.00209850296698703,0.00160966494641273
30,30,Neural Network,calibrated,0.0378,0.0226790526269202,0.00770634238177523
30,30,Neural Network,calibrated,0.0382,0.1257678879153,0.0160102413109544
30,30,Neural Network,calibrated,0.0386,0.00585357100954851,0.0037812898878579
30,30,Neural Network,calibrated,0.039,3.48468921337678E-13,1.5439062894269E-13
30,30,Neural Network,calibrated,0.0394,1.48235208664931E-15,9.74830040047228E-16
30,30,Neural Network,calibrated,0.0398,1.41731447240753E-16,9.17357155755243E-17
30,30,Neural Network,calibrated,0.0402,5.46652816730024E-17,1.9835157515742E-17
30,30,Neural Network,calibrated,0.041,9.67962578971025E-18,6.01347347916069E-19
30,30,Neural Network,uncalibrated,0.036,1.05605132156428E-12,1.32072226729124E-13
30,30,Neural Network,uncalibrated,0.0366,1.3374349089738E-10,5.09856068667273E-11
30,30,Neural Network,uncalibrated,0.037,6.00762198756162E-08,4.81736034808741E-08
30,30,Neural Network,uncalibrated,0.0374,3.7271426975064E-05,3.06749535837421E-05
30,30,Neural Network,uncalibrated,0.0378,0.0139369630435208,0.0065022632066488
30,30,Neural Network,uncalibrated,0.0382,0.137610593274629,0.0163576505832977
30,30,Neural Network,uncalibrated,0.0386,0.0135321816555792,0.00611494709266138
30,30,Neural Network,uncalibrated,0.039,1.51508967349074E-07,6.49307160149732E-08
30,30,Neural Network,uncalibrated,0.0394,6.15078428546522E-10,4.17560035113274E-10
30,30,Neural Network,uncalibrated,0.0398,4.71712955012483E-12,1.44180157382997E-12
30,30,Neural Network,uncalibrated,0.0402,1.80057043200605E-11,7.22618068488168E-12
30,30,Neural Network,uncalibrated,0.041,9.90407631065913E-13,5.95926839729399E-14
20,20,Logistic Regression,calibrated,0.036,7.47000847131486E-09,1.15912251110912E-09
20,20,Logistic Regression,calibrated,0.0366,1.20009715253526E-06,4.44810146974035E-07
20,20,Logistic Regression,calibrated,0.037,0.000258492772393168,0.000178386642730013
20,20,Logistic Regression,calibrated,0.0374,0.0107368874909534,0.00466116350123572
