feature_set,n_features,model,algorithm,n_neighbors,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
20,20,KNN,ball_tree,21,uncalibrated,1,0.038045547430169,3.56631484212228E-05,0.0382,12,1.36,0.495,1.094,0.009,0.0085,0.00016,2.966
20,20,KNN,ball_tree,23,uncalibrated,1,0.0380449520190684,3.53785801343875E-05,0.0382,12,1.412,0.491,1.078,0.0082,0.0079,0.00015,2.997
20,20,KNN,ball_tree,25,uncalibrated,1,0.0380443730783618,3.52062465306025E-05,0.0382,12,1.633,0.529,1.125,0.0084,0.0083,0.00015,3.303
20,20,KNN,ball_tree,27,uncalibrated,1,0.0380437528188205,3.49867075308488E-05,0.0382,12,0.825,0.497,1.07,0.0084,0.0079,0.00015,2.408
20,20,KNN,ball_tree,29,uncalibrated,1,0.0380431830746776,3.47394388659988E-05,0.0382,12,1.649,0.52,1.12,0.0088,0.0085,0.00016,3.307
20,20,KNN,ball_tree,31,uncalibrated,1,0.0380428024040042,3.4622535071916E-05,0.0382,12,1.533,0.498,1.083,0.0083,0.0088,0.0002,3.131
20,20,KNN,ball_tree,33,uncalibrated,1,0.0380423381308927,3.45082673983854E-05,0.0382,12,1.696,0.528,1.168,0.0089,0.0086,0.00016,3.41
20,20,KNN,ball_tree,35,uncalibrated,1,0.0380419080468812,3.44299623010802E-05,0.0382,12,1.704,0.573,1.129,0.009,0.0089,0.00025,3.425
20,20,KNN,ball_tree,37,uncalibrated,1,0.0380416313466566,3.43437792406625E-05,0.0382,12,0.875,0.498,1.054,0.0079,0.0101,0.00033,2.445
20,20,KNN,ball_tree,39,uncalibrated,1,0.0380411786226176,3.41920362957921E-05,0.0382,12,0.905,0.525,1.15,0.0091,0.009,0.00025,2.597
20,20,KNN,ball_tree,41,uncalibrated,1,0.0380407923003973,3.4091593189693E-05,0.0382,12,1.716,0.528,1.089,0.0086,0.0085,0.00014,3.35
20,20,KNN,ball_tree,43,uncalibrated,1,0.0380404448440439,3.40071880570714E-05,0.0382,12,1.683,0.525,1.13,0.0088,0.0082,0.00015,3.355
20,20,KNN,ball_tree,45,uncalibrated,1,0.0380401037282336,3.39520715481878E-05,0.0382,12,1.602,0.489,1.063,0.0085,0.008,0.00015,3.171
20,20,KNN,ball_tree,47,uncalibrated,1,0.0380398277643302,3.39141545564961E-05,0.0382,12,1.706,0.498,1.121,0.0088,0.0088,0.00019,3.343
20,20,KNN,ball_tree,49,uncalibrated,1,0.0380395791775811,3.38082094594467E-05,0.0382,12,1.812,0.545,1.158,0.0091,0.0091,0.00025,3.533
20,20,KNN,ball_tree,51,uncalibrated,1,0.0380393060125636,3.37091165930631E-05,0.0382,12,1.671,0.49,1.144,0.0082,0.0083,0.00015,3.322
20,20,KNN,ball_tree,61,uncalibrated,1,0.0380381362776007,3.34023625001271E-05,0.0382,12,1.837,0.565,1.276,0.009,0.0089,0.00017,3.695
20,20,KNN,ball_tree,81,uncalibrated,1,0.0380362636172286,3.2899171215045E-05,0.0382,12,1.448,0.561,1.298,0.009,0.0087,0.00031,3.324
20,20,KNN,ball_tree,101,uncalibrated,1,0.0380346674600635,3.24505849433615E-05,0.0382,12,1.957,0.576,1.21,0.0092,0.0096,0.00025,3.763
20,20,KNN,ball_tree,151,uncalibrated,1,0.0380319268677569,3.17347320492473E-05,0.0382,12,1.791,0.551,1.199,0.0098,0.0093,0.00027,3.561
20,20,KNN,ball_tree,201,uncalibrated,1,0.0380302468999312,3.1401818181852E-05,0.0382,12,2.246,0.521,1.14,0.0087,0.0085,0.00017,3.924
20,20,KNN,brute,1,uncalibrated,1,0.0380555850885357,3.98152800452091E-05,0.0382,12,10.5,0.513,1.1,0.0084,0.0082,0.00016,12.129
20,20,KNN,brute,3,uncalibrated,1,0.0380523225140498,3.77936640794801E-05,0.0382,12,10.065,0.51,1.094,0.0089,0.0085,0.00023,11.687
20,20,KNN,brute,5,uncalibrated,1,0.0380520203186331,3.77006540742355E-05,0.0382,12,10.514,0.514,1.148,0.0089,0.0088,0.00016,12.193
20,20,KNN,brute,7,uncalibrated,1,0.0380510640332839,3.76228877256358E-05,0.0382,12,10.531,0.554,1.176,0.0093,0.0097,0.00026,12.28
20,20,KNN,brute,9,uncalibrated,1,0.0380503985360528,3.75380988832981E-05,0.0382,12,10.372,0.522,1.131,0.0082,0.0082,0.00015,12.041
20,20,KNN,brute,11,uncalibrated,1,0.0380498284554872,3.7283230616531E-05,0.0382,12,10.314,0.531,1.157,0.0085,0.0085,0.00016,12.019
20,20,KNN,brute,13,uncalibrated,1,0.0380489864069688,3.69056491043775E-05,0.0382,12,10.612,0.538,1.157,0.009,0.0088,0.00015,12.325
20,20,KNN,brute,15,uncalibrated,1,0.0380478302908911,3.63339612472007E-05,0.0382,12,10.551,0.555,1.2,0.009,0.0088,0.00016,12.324
20,20,KNN,brute,17,uncalibrated,1,0.0380469806323075,3.60943809274186E-05,0.0382,12,10.77,0.526,1.135,0.0088,0.0087,0.00015,12.449
20,20,KNN,brute,19,uncalibrated,1,0.0380461768524282,3.575261106295E-05,0.0382,12,10.396,0.574,1.183,0.0088,0.0085,0.00016,12.17
20,20,KNN,brute,21,uncalibrated,1,0.038045547430169,3.56631484212228E-05,0.0382,12,10.417,0.521,1.138,0.0094,0.0088,0.00025,12.094
20,20,KNN,brute,23,uncalibrated,1,0.0380449520190684,3.53785801343875E-05,0.0382,12,10.706,0.518,1.128,0.0085,0.0084,0.00015,12.37
20,20,KNN,brute,25,uncalibrated,1,0.0380443730783618,3.52062465306025E-05,0.0382,12,11.197,0.502,1.116,0.0088,0.0083,0.00015,12.832
20,20,KNN,brute,27,uncalibrated,1,0.0380437528188205,3.49867075308488E-05,0.0382,12,10.943,0.528,1.127,0.0085,0.0082,0.00015,12.615
20,20,KNN,brute,29,uncalibrated,1,0.0380431830746776,3.47394388659988E-05,0.0382,12,10.383,0.569,1.121,0.0082,0.008,0.00015,12.089
20,20,KNN,brute,31,uncalibrated,1,0.0380428024040042,3.4622535071916E-05,0.0382,12,10.005,0.48,1.054,0.0082,0.008,0.00015,11.555
20,20,KNN,brute,33,uncalibrated,1,0.0380423381308927,3.45082673983854E-05,0.0382,12,10.602,0.51,1.214,0.0089,0.0085,0.00016,12.343
20,20,KNN,brute,35,uncalibrated,1,0.0380419080468812,3.44299623010802E-05,0.0382,12,10.851,0.527,1.11,0.0085,0.0091,0.00015,12.506
20,20,KNN,brute,37,uncalibrated,1,0.0380416313466566,3.43437792406625E-05,0.0382,12,10.22,0.51,1.061,0.0081,0.0083,0.00014,11.808
20,20,KNN,brute,39,uncalibrated,1,0.0380411786226176,3.41920362957921E-05,0.0382,12,10.332,0.541,1.193,0.0087,0.0085,0.00017,12.083
