feature_set,n_features,model,calibration,Delta,mean,mean_err
30,30,kNN kd_tree,calibrated,0.0386,0.999600446628314,0.00017558636206838
30,30,kNN kd_tree,calibrated,0.039,0.999804824711331,5.88313455706836E-15
30,30,kNN kd_tree,calibrated,0.0394,0.999804824711349,5.88313455706836E-15
30,30,kNN kd_tree,calibrated,0.0398,0.999804824711337,5.57327535144975E-15
30,30,kNN kd_tree,calibrated,0.0402,0.999804824711345,5.57327535144975E-15
30,30,kNN kd_tree,calibrated,0.041,0.999804824711357,3.92208970471224E-15
30,30,kNN kd_tree,uncalibrated,0.036,0,0
30,30,kNN kd_tree,uncalibrated,0.0366,0,0
30,30,kNN kd_tree,uncalibrated,0.037,0,0
30,30,kNN kd_tree,uncalibrated,0.0374,0.000370003700037,0.000370003700037
30,30,kNN kd_tree,uncalibrated,0.0378,0.138311046570259,0.0448614353570685
30,30,kNN kd_tree,uncalibrated,0.0382,0.864,0.0566976750610935
30,30,kNN kd_tree,uncalibrated,0.0386,0.999806110641991,0.000165282889106084
30,30,kNN kd_tree,uncalibrated,0.039,1,0
30,30,kNN kd_tree,uncalibrated,0.0394,1,0
30,30,kNN kd_tree,uncalibrated,0.0398,1,0
30,30,kNN kd_tree,uncalibrated,0.0402,1,0
30,30,kNN kd_tree,uncalibrated,0.041,1,0
30,30,kNN,calibrated,0.036,0.000221650878584332,1.19692678976814E-18
30,30,kNN,calibrated,0.0366,0.000221650878584334,1.19692678976814E-18
30,30,kNN,calibrated,0.037,0.000221650878584332,1.051173006585E-18
30,30,kNN,calibrated,0.0374,0.000586683578458934,0.000365032699874612
30,30,kNN,calibrated,0.0378,0.137983315065822,0.0447677721567583
30,30,kNN,calibrated,0.0382,0.863468148788928,0.0568329059707583
30,30,kNN,calibrated,0.0386,0.999600446628314,0.00017558636206838
30,30,kNN,calibrated,0.039,0.999804824711331,5.88313455706836E-15
30,30,kNN,calibrated,0.0394,0.999804824711349,5.88313455706836E-15
30,30,kNN,calibrated,0.0398,0.999804824711337,5.57327535144975E-15
30,30,kNN,calibrated,0.0402,0.999804824711345,5.57327535144975E-15
30,30,kNN,calibrated,0.041,0.999804824711357,3.92208970471224E-15
30,30,kNN,uncalibrated,0.036,0,0
30,30,kNN,uncalibrated,0.0366,0,0
30,30,kNN,uncalibrated,0.037,0,0
30,30,kNN,uncalibrated,0.0374,0.000370003700037,0.000370003700037
30,30,kNN,uncalibrated,0.0378,0.138311046570259,0.0448614353570685
30,30,kNN,uncalibrated,0.0382,0.864,0.0566976750610935
30,30,kNN,uncalibrated,0.0386,0.999806110641991,0.000165282889106084
30,30,kNN,uncalibrated,0.039,1,0
30,30,kNN,uncalibrated,0.0394,1,0
30,30,kNN,uncalibrated,0.0398,1,0
30,30,kNN,uncalibrated,0.0402,1,0
30,30,kNN,uncalibrated,0.041,1,0
30,30,kNN ball_tree,calibrated,0.036,0.000221650878584332,1.19692678976814E-18
30,30,kNN ball_tree,calibrated,0.0366,0.000221650878584334,1.19692678976814E-18
30,30,kNN ball_tree,calibrated,0.037,0.000221650878584332,1.051173006585E-18
30,30,kNN ball_tree,calibrated,0.0374,0.000586683578458934,0.000365032699874612
