feature_set,n_features,model,calibration,Delta,mean,mean_err
30,30,Neural Network,uncalibrated,0.0378,0.0525991686305103,0.0161252431601185
30,30,Neural Network,uncalibrated,0.0382,0.618348969370319,0.144602081437941
30,30,Neural Network,uncalibrated,0.0386,0.937807343607433,0.0288009418639681
30,30,Neural Network,uncalibrated,0.039,0.999848253448461,8.45909624903607E-05
30,30,Neural Network,uncalibrated,0.0394,0.999981798636427,4.56689772577313E-06
30,30,Neural Network,uncalibrated,0.0398,0.999996109384433,2.68322678699664E-07
30,30,Neural Network,uncalibrated,0.0402,0.99999427697426,1.42842916783792E-06
30,30,Neural Network,uncalibrated,0.041,0.999997727913686,3.82734420822928E-08
20,20,Logistic Regression,calibrated,0.036,0.000179136135586754,4.03770030025797E-06
20,20,Logistic Regression,calibrated,0.0366,0.000896216757738832,0.000103635677763102
20,20,Logistic Regression,calibrated,0.037,0.0109479110976822,0.00359806739968163
20,20,Logistic Regression,calibrated,0.0374,0.0942234889477344,0.0412047130307344
20,20,Logistic Regression,calibrated,0.0378,0.349809805925761,0.0371690986996677
20,20,Logistic Regression,calibrated,0.0382,0.827399893513315,0.0573327648507309
20,20,Logistic Regression,calibrated,0.0386,0.964853668964278,0.0132486334448274
20,20,Logistic Regression,calibrated,0.039,0.998643585789263,0.000544454358805402
20,20,Logistic Regression,calibrated,0.0394,0.999501272269527,6.37312915030232E-05
20,20,Logistic Regression,calibrated,0.0398,0.999736874242815,1.8743425085108E-05
20,20,Logistic Regression,calibrated,0.0402,0.999734874680961,3.08021935480629E-05
20,20,Logistic Regression,calibrated,0.041,0.999828699590366,1.60933775929124E-06
20,20,Logistic Regression,uncalibrated,0.036,6.21302448303202E-05,1.62203214529326E-06
20,20,Logistic Regression,uncalibrated,0.0366,0.000390041797937254,5.22287184531787E-05
20,20,Logistic Regression,uncalibrated,0.037,0.00652727452307885,0.00248160310256967
20,20,Logistic Regression,uncalibrated,0.0374,0.0743314398065984,0.0364008201560446
20,20,Logistic Regression,uncalibrated,0.0378,0.327556636070911,0.0388140567729373
20,20,Logistic Regression,uncalibrated,0.0382,0.833002670533568,0.0571042559603794
20,20,Logistic Regression,uncalibrated,0.0386,0.971319588212719,0.0113348665635952
20,20,Logistic Regression,uncalibrated,0.039,0.999208598178862,0.000338893140936214
20,20,Logistic Regression,uncalibrated,0.0394,0.999743917755723,3.66149467003394E-05
20,20,Logistic Regression,uncalibrated,0.0398,0.999876701549427,9.43145729986803E-06
20,20,Logistic Regression,uncalibrated,0.0402,0.999873664076776,1.65288052582646E-05
20,20,Logistic Regression,uncalibrated,0.041,0.999923054122206,7.82406440031881E-07
20,20,Logistic Regression C = 0.00175,calibrated,0.036,0.000174545683834216,3.96133622010952E-06
20,20,Logistic Regression C = 0.00175,calibrated,0.0366,0.000881901744722303,0.00010263853532608
20,20,Logistic Regression C = 0.00175,calibrated,0.037,0.0109003468538417,0.00359816997451957
20,20,Logistic Regression C = 0.00175,calibrated,0.0374,0.0942366158325438,0.0412206011489963
20,20,Logistic Regression C = 0.00175,calibrated,0.0378,0.3494644308288,0.0370936214820861
20,20,Logistic Regression C = 0.00175,calibrated,0.0382,0.827195454240031,0.0575840164853955
20,20,Logistic Regression C = 0.00175,calibrated,0.0386,0.965160000926731,0.0132189814885064
20,20,Logistic Regression C = 0.00175,calibrated,0.039,0.998708949750405,0.00052114277248988
20,20,Logistic Regression C = 0.00175,calibrated,0.0394,0.999530665336958,6.04468251432778E-05
20,20,Logistic Regression C = 0.00175,calibrated,0.0398,0.999751695089929,1.82686363342312E-05
20,20,Logistic Regression C = 0.00175,calibrated,0.0402,0.99975151573213,2.89016729728142E-05
20,20,Logistic Regression C = 0.00175,calibrated,0.041,0.999839224382122,1.5356041013693E-06
20,20,Logistic Regression C = 0.00175,uncalibrated,0.036,0.00768356238124843,8.62544693534105E-05
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0366,0.0177159341047039,0.000996759923201542
20,20,Logistic Regression C = 0.00175,uncalibrated,0.037,0.0684335329122535,0.0105880695232548
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0374,0.214506541413846,0.0512526121702153
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0378,0.438699330665381,0.027113699176331
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0382,0.778541136545506,0.0537167408702862
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0386,0.905354503128203,0.0236319889124447
20,20,Logistic Regression C = 0.00175,uncalibrated,0.039,0.983443439377774,0.00429625290275121
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0394,0.989977009636647,0.000702021461085282
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0398,0.993048456597701,0.000238185952993837
20,20,Logistic Regression C = 0.00175,uncalibrated,0.0402,0.992929232244821,0.00047808451007153
20,20,Logistic Regression C = 0.00175,uncalibrated,0.041,0.994503985765182,2.85985475266757E-05
20,20,kNN,calibrated,0.036,0.000221650878584332,1.19692678976814E-18
20,20,kNN,calibrated,0.0366,0.000221650878584334,1.19692678976814E-18
20,20,kNN,calibrated,0.037,0.000221650878584332,1.051173006585E-18
20,20,kNN,calibrated,0.0374,0.000222330086767443,6.7920818311913E-07
20,20,kNN,calibrated,0.0378,0.0572581088052888,0.0250816454378961
20,20,kNN,calibrated,0.0382,0.760092162210931,0.0906409101441343
20,20,kNN,calibrated,0.0386,0.997144452031287,0.00204773216652688
20,20,kNN,calibrated,0.039,0.999804824711331,5.88313455706836E-15
20,20,kNN,calibrated,0.0394,0.999804824711349,5.88313455706836E-15
20,20,kNN,calibrated,0.0398,0.999804824711337,5.57327535144975E-15
20,20,kNN,calibrated,0.0402,0.999804824711345,5.57327535144975E-15
20,20,kNN,calibrated,0.041,0.999804824711357,3.92208970471224E-15
20,20,kNN,uncalibrated,0.036,0,0
20,20,kNN,uncalibrated,0.0366,0,0
20,20,kNN,uncalibrated,0.037,0,0
20,20,kNN,uncalibrated,0.0374,2.00180162145935E-06,2.00180162145931E-06
