stride,feature_set,n_features,model,K0,chi,chi_err
250,30,30,Agglomerative,4.77,0.238183817981838,0.00841260750490034
250,30,30,Agglomerative,4.78,0.216977124183003,0.0117454147285111
250,30,30,Agglomerative,4.79,0.213131775629413,0.0134068704200964
250,30,30,Agglomerative,4.81,0.112877739894075,0.0163208640616736
250,30,30,Agglomerative,4.82,0.0550491176881244,0.0212002609262883
250,30,30,Agglomerative,4.83,0.0322528941635885,0.0173994968382555
250,30,30,Agglomerative,4.84,0.0143998760546359,0.00851693186454509
250,30,30,Agglomerative,4.85,0.0066890448331942,0.00666463970811797
250,30,30,Agglomerative,4.86,0.0038759689922481,0.00387596899224806
250,30,30,Agglomerative,4.87,0.0039682539682539,0.00396825396825397
250,30,30,Agglomerative,4.88,0,0
250,30,30,Agglomerative,4.9,0,0
250,30,30,Agglomerative,4.93,0,0
100,30,30,Agglomerative,4.67,0,0
100,30,30,Agglomerative,4.7,0,0
100,30,30,Agglomerative,4.72,0.00711757365514954,0.00704117946110829
100,30,30,Agglomerative,4.73,0.0103337047713098,0.00496752782903756
100,30,30,Agglomerative,4.74,0.0437691521897388,0.008056651629879
100,30,30,Agglomerative,4.75,0.098866807875493,0.0177263402373681
100,30,30,Agglomerative,4.76,0.159103428654355,0.0166876606036177
100,30,30,Agglomerative,4.77,0.223782648155173,0.00695349662882778
100,30,30,Agglomerative,4.78,0.244372986055382,0.00392676693558237
100,30,30,Agglomerative,4.79,0.246088672035956,0.00327800251654088
100,30,30,Agglomerative,4.81,0.145162834458593,0.0133890195562217
100,30,30,Agglomerative,4.82,0.0879465827221836,0.0107366229805397
100,30,30,Agglomerative,4.83,0.0431087819634533,0.00820962905891713
100,30,30,Agglomerative,4.84,0.0188997384266965,0.00600982414783513
100,30,30,Agglomerative,4.85,0.015431773388779,0.0054223868979467
100,30,30,Agglomerative,4.86,0.00938711548068196,0.00442892234616517
100,30,30,Agglomerative,4.87,0.00517769866819982,0.00312041808287104
100,30,30,Agglomerative,4.88,0,0
100,30,30,Agglomerative,4.9,0,0
100,30,30,Agglomerative,4.93,0,0
50,30,30,Agglomerative,4.67,0,0
50,30,30,Agglomerative,4.7,0,0
50,30,30,Agglomerative,4.72,0.00709531445884829,0.00527147125430567
50,30,30,Agglomerative,4.73,0.0177904872154061,0.00527687729671958
50,30,30,Agglomerative,4.74,0.055356931821158,0.00789746233050082
50,30,30,Agglomerative,4.75,0.101105644061334,0.0139913182940581
50,30,30,Agglomerative,4.76,0.15563435116582,0.00913113550264277
50,30,30,Agglomerative,4.77,0.219512313074843,0.00458519879520964
50,30,30,Agglomerative,4.78,0.250085993998562,0.00186891515994436
50,30,30,Agglomerative,4.79,0.229395426184968,0.00445264640610345
50,30,30,Agglomerative,4.81,0.103188960364504,0.0112488626023658
50,30,30,Agglomerative,4.82,0.0499404181399829,0.0060954081438861
50,30,30,Agglomerative,4.83,0.0284105493569117,0.00511368775186979
50,30,30,Agglomerative,4.84,0.0138029734356527,0.00344952122144663
50,30,30,Agglomerative,4.85,0.00579651699629861,0.00225801682541311
50,30,30,Agglomerative,4.86,0.00235744207780295,0.00131546435100936
50,30,30,Agglomerative,4.87,0.00119904141480338,0.00119796152277098
50,30,30,Agglomerative,4.88,0,0
50,30,30,Agglomerative,4.9,0,0
50,30,30,Agglomerative,4.93,0,0
5000,30,30,Spectral,4.67,0,0
5000,30,30,Spectral,4.7,0,0
5000,30,30,Spectral,4.72,0.238095238095238,0.110656667034498
5000,30,30,Spectral,4.73,0,0
5000,30,30,Spectral,4.74,0.1,0.1
5000,30,30,Spectral,4.75,0,0
5000,30,30,Spectral,4.76,0,0
5000,30,30,Spectral,4.77,0,0
5000,30,30,Spectral,4.78,0,0
5000,30,30,Spectral,4.79,0,0
5000,30,30,Spectral,4.81,0,0
5000,30,30,Spectral,4.82,0,0
5000,30,30,Spectral,4.83,0,0
5000,30,30,Spectral,4.84,0,0
5000,30,30,Spectral,4.85,0,0
5000,30,30,Spectral,4.86,0,0
5000,30,30,Spectral,4.87,0,0
5000,30,30,Spectral,4.88,0,0
5000,30,30,Spectral,4.9,0,0
5000,30,30,Spectral,4.93,0,0
1000,30,30,Spectral,4.67,0,0
1000,30,30,Spectral,4.7,0,0
1000,30,30,Spectral,4.72,0,0
1000,30,30,Spectral,4.73,0.0643678160919532,0.0430119444720736
1000,30,30,Spectral,4.74,0.0484399788471708,0.0451612903225806
1000,30,30,Spectral,4.75,0.215381784434204,0.0680443548387097
1000,30,30,Spectral,4.76,0.245454545454547,0.0154580011927535
1000,30,30,Spectral,4.77,0.148563980822046,0.0456905392578011
1000,30,30,Spectral,4.78,0.0990990990990991,0.042880905212253
1000,30,30,Spectral,4.79,0.0512091038406828,0.0346703483972794
1000,30,30,Spectral,4.81,0.0249999999999995,0.025
1000,30,30,Spectral,4.82,0,0
1000,30,30,Spectral,4.83,0,0
1000,30,30,Spectral,4.84,0,0
1000,30,30,Spectral,4.85,0,0
1000,30,30,Spectral,4.86,0,0
1000,30,30,Spectral,4.87,0,0
1000,30,30,Spectral,4.88,0,0
1000,30,30,Spectral,4.9,0,0
1000,30,30,Spectral,4.93,0,0
500,30,30,Spectral,4.67,0,0
500,30,30,Spectral,4.7,0,0
500,30,30,Spectral,4.72,0.0175438596491224,0.0175438596491228
500,30,30,Spectral,4.73,0.0789012273524263,0.0314367106683101
500,30,30,Spectral,4.74,0.14644137224782,0.0324052698184158
500,30,30,Spectral,4.75,0.253365384615385,0.00297301887925785
500,30,30,Spectral,4.76,0.191146609207633,0.0304160168455804
500,30,30,Spectral,4.77,0.091304347826085,0.0297423872329548
500,30,30,Spectral,4.78,0.0399543378995419,0.0220768442124669
500,30,30,Spectral,4.79,0,0
500,30,30,Spectral,4.81,0,0
500,30,30,Spectral,4.82,0,0
500,30,30,Spectral,4.83,0,0
500,30,30,Spectral,4.84,0,0
500,30,30,Spectral,4.85,0,0
500,30,30,Spectral,4.86,0,0
500,30,30,Spectral,4.87,0,0
500,30,30,Spectral,4.88,0,0
500,30,30,Spectral,4.9,0,0
500,30,30,Spectral,4.93,0,0
250,30,30,Spectral,4.67,0,0
250,30,30,Spectral,4.7,0,0
250,30,30,Spectral,4.72,0.0316130867357981,0.0133839043303171
250,30,30,Spectral,4.73,0.0997787638588641,0.0299661694993233
250,30,30,Spectral,4.74,0.189989124695334,0.0162796642233462
250,30,30,Spectral,4.75,0.241892224409449,0.00959645669291338
250,30,30,Spectral,4.76,0.144529888627926,0.0176740755968753
250,30,30,Spectral,4.77,0.0749260618448158,0.019489660150344
250,30,30,Spectral,4.78,0.0153028306817862,0.00864958850781964
250,30,30,Spectral,4.79,0.00348432055749131,0.00348432055749129
250,30,30,Spectral,4.81,0,0
250,30,30,Spectral,4.82,0,0
250,30,30,Spectral,4.83,0,0
250,30,30,Spectral,4.84,0,0
250,30,30,Spectral,4.85,0,0
250,30,30,Spectral,4.86,0,0
250,30,30,Spectral,4.87,0,0
250,30,30,Spectral,4.88,0,0
250,30,30,Spectral,4.9,0,0
250,30,30,Spectral,4.93,0,0
100,30,30,Spectral,4.67,0,0
100,30,30,Spectral,4.7,0,0
100,30,30,Spectral,4.72,0.0508419551254096,0.0105603432137196
100,30,30,Spectral,4.73,0.127659358777396,0.0139647564500821
100,30,30,Spectral,4.74,0.238636795038464,0.00493536122467423
100,30,30,Spectral,4.75,0.218398946889373,0.00756594028572588
100,30,30,Spectral,4.76,0.104866065953738,0.0149679876019275
100,30,30,Spectral,4.77,0.0405232078617465,0.00793037474357194
100,30,30,Spectral,4.78,0.00779945603157906,0.00338777450572041
100,30,30,Spectral,4.79,0,0
