stride,feature_set,n_features,model,K0,mean,mean_err
100,add_2,21,Agglomerative,4.85,0.9688311688311677,0.008997666532825282
100,add_2,21,Agglomerative,4.86,0.983510011778563,0.007723720287752705
100,add_2,21,Agglomerative,4.87,0.9855421686746988,0.005016062649315885
100,add_2,21,Agglomerative,4.88,0.99308755760368,0.003062580958122399
100,add_2,21,Agglomerative,4.9,1.0,0.0
100,add_2,21,Agglomerative,4.93,1.0,0.0
250,add_2,21,Spectral,4.67,0.0,0.0
250,add_2,21,Spectral,4.7,0.0,0.0
250,add_2,21,Spectral,4.72,0.08187134502923976,0.020910594838402366
250,add_2,21,Spectral,4.73,0.260683760683761,0.0455884969336567
250,add_2,21,Spectral,4.74,0.5267489711934157,0.039418197655695486
250,add_2,21,Spectral,4.75,0.8203125,0.046875
250,add_2,21,Spectral,4.76,0.9354838709677215,0.017475365770514607
250,add_2,21,Spectral,4.77,0.981684981684981,0.00921835706382273
250,add_2,21,Spectral,4.78,1.0,0.0
250,add_2,21,Spectral,4.79,1.0,0.0
250,add_2,21,Spectral,4.81,1.0,0.0
250,add_2,21,Spectral,4.82,1.0,0.0
250,add_2,21,Spectral,4.83,1.0,0.0
250,add_2,21,Spectral,4.84,1.0,0.0
250,add_2,21,Spectral,4.85,1.0,0.0
250,add_2,21,Spectral,4.86,1.0,0.0
250,add_2,21,Spectral,4.87,1.0,0.0
250,add_2,21,Spectral,4.88,1.0,0.0
250,add_2,21,Spectral,4.9,1.0,0.0
250,add_2,21,Spectral,4.93,1.0,0.0
100,add_2,21,Spectral,4.67,0.0,0.0
100,add_2,21,Spectral,4.7,0.0,0.0
100,add_2,21,Spectral,4.72,0.0853174603174586,0.013214172313148123
100,add_2,21,Spectral,4.73,0.2545454545454545,0.021645021645021613
100,add_2,21,Spectral,4.74,0.5411985018726494,0.022486092448963702
100,add_2,21,Spectral,4.75,0.8251633986928065,0.01597873564838345
100,add_2,21,Spectral,4.76,0.9533333333333252,0.008480679331393097
100,add_2,21,Spectral,4.77,0.9839743589743589,0.005280477378512316
100,add_2,21,Spectral,4.78,0.9984301412873041,0.0015698587127158502
100,add_2,21,Spectral,4.79,1.0,0.0
100,add_2,21,Spectral,4.81,1.0,0.0
100,add_2,21,Spectral,4.82,1.0,0.0
100,add_2,21,Spectral,4.83,1.0,0.0
100,add_2,21,Spectral,4.84,1.0,0.0
100,add_2,21,Spectral,4.85,1.0,0.0
100,add_2,21,Spectral,4.86,1.0,0.0
100,add_2,21,Spectral,4.87,1.0,0.0
100,add_2,21,Spectral,4.88,1.0,0.0
100,add_2,21,Spectral,4.9,1.0,0.0
100,add_2,21,Spectral,4.93,1.0,0.0
250,add_2,21,Birch,4.67,0.0,0.0
250,add_2,21,Birch,4.7,0.0,0.0
250,add_2,21,Birch,4.72,0.026785714285714284,0.017290104224140252
250,add_2,21,Birch,4.73,0.038297872340425504,0.018302819717111972
250,add_2,21,Birch,4.74,0.1144578313253012,0.024730847947477274
250,add_2,21,Birch,4.75,0.1976744186046535,0.03232769728039618
250,add_2,21,Birch,4.76,0.37969924812030076,0.05639097744360902
250,add_2,21,Birch,4.77,0.49280575539568344,0.04676258992805754
250,add_2,21,Birch,4.78,0.65625,0.04030086229553497
250,add_2,21,Birch,4.79,0.8080808080808081,0.03641970985317165
250,add_2,21,Birch,4.81,0.9294871794871801,0.027044901422729528
250,add_2,21,Birch,4.82,0.9722222222222222,0.01388888888888884
250,add_2,21,Birch,4.83,0.9796747967479494,0.008862428577393177
250,add_2,21,Birch,4.84,0.9961685823754598,0.00383141762452108
250,add_2,21,Birch,4.85,1.0,0.0
250,add_2,21,Birch,4.86,1.0,0.0
250,add_2,21,Birch,4.87,1.0,0.0
250,add_2,21,Birch,4.88,1.0,0.0
250,add_2,21,Birch,4.9,1.0,0.0
250,add_2,21,Birch,4.93,1.0,0.0
100,add_2,21,Birch,4.67,0.0,0.0
100,add_2,21,Birch,4.7,0.0,0.0
100,add_2,21,Birch,4.72,0.014403292181069682,0.00599892170251574
100,add_2,21,Birch,4.73,0.028911564625850344,0.008503401360544218
100,add_2,21,Birch,4.74,0.07154471544715447,0.01345767915223321
100,add_2,21,Birch,4.75,0.19937694704049844,0.02163932085584082
100,add_2,21,Birch,4.76,0.3333333333333333,0.03131887419993569
100,add_2,21,Birch,4.77,0.49415204678362573,0.021346490636765893
100,add_2,21,Birch,4.78,0.6064425770308105,0.0209324022095731
100,add_2,21,Birch,4.79,0.7067567567567568,0.021000365226919
100,add_2,21,Birch,4.81,0.8867684478371501,0.01908396946564883
100,add_2,21,Birch,4.82,0.9248633879781418,0.01575486693261033
100,add_2,21,Birch,4.83,0.9368421052631579,0.01771842971642467
100,add_2,21,Birch,4.84,0.9545454545454546,0.017482517482517446
100,add_2,21,Birch,4.85,0.9688311688311677,0.008997666532825282
100,add_2,21,Birch,4.86,0.983510011778563,0.007723720287752705
100,add_2,21,Birch,4.87,0.9855421686746988,0.005016062649315885
100,add_2,21,Birch,4.88,0.99308755760368,0.003062580958122399
100,add_2,21,Birch,4.9,1.0,0.0
100,add_2,21,Birch,4.93,1.0,0.0
250,add_5,21,KMeans,4.67,0.5094339622641509,0.03344925511048748
250,add_5,21,KMeans,4.7,0.441176470588239,0.042591392933935546
250,add_5,21,KMeans,4.72,0.48214285714285754,0.03877215345298634
250,add_5,21,KMeans,4.73,0.4829059829059829,0.04700854700854701
250,add_5,21,KMeans,4.74,0.5843373493976086,0.04183148848029863
250,add_5,21,KMeans,4.75,0.5198412698412699,0.039952186315836205
250,add_5,21,KMeans,4.76,0.4868913857677903,0.058142976390486975
250,add_5,21,KMeans,4.77,0.5157894736842106,0.03545625791062934
250,add_5,21,KMeans,4.78,0.4826388888888892,0.04283658475914203
250,add_5,21,KMeans,4.79,0.5254237288135594,0.03595458209423124
250,add_5,21,KMeans,4.81,0.48101265822785677,0.03329914694141255
250,add_5,21,KMeans,4.82,0.5102040816326531,0.04081632653061221
250,add_5,21,KMeans,4.83,0.5108225108225024,0.03675966147139346
250,add_5,21,KMeans,4.84,0.5718475073313795,0.03693152256054225
250,add_5,21,KMeans,4.85,0.49230769230769517,0.0340621109823114
250,add_5,21,KMeans,4.86,0.44837758112094406,0.04098066073584013
250,add_5,21,KMeans,4.87,0.4984984984984986,0.04832875957787111
250,add_5,21,KMeans,4.88,0.51,0.030963802449745958
250,add_5,21,KMeans,4.9,0.5082417582417582,0.03654982059244522
250,add_5,21,KMeans,4.93,0.4945652173913043,0.04347826086956519
100,add_5,21,KMeans,4.67,0.4253731343283582,0.026509924522470887
100,add_5,21,KMeans,4.7,0.4138613861386136,0.027899015452683883
