stride,feature_set,n_features,model,K0_crit,K0_crit_err,K0_close,N_K0,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_k0_crit,runtime_total
1000,20,20,Birch,4.80616161616162,0.0122888806236759,4.93,20,0.178,0.424,1.112,0.0133,0.0129,0.00023,1.741
500,20,20,Birch,4.78444162436548,0.00539458680832617,4.86,20,0.44,0.789,2.065,0.0142,0.0135,0.00025,3.321
250,20,20,Birch,,,,20,1.331,0.778,2.116,0.0145,0.0136,0.00012,4.254
100,20,20,Birch,,,,20,7.945,0.892,2.314,0.0143,0.0136,0.00012,11.179
50,20,20,Birch,,,,20,35.376,0.858,2.214,0.0128,0.0127,0.00012,38.473
5000,20,20,BayesianGMM,4.84898307586745,0.00409815304047569,4.83,20,0.187,0.031,0.055,0.0133,0.0128,0.00023,0.299
1000,20,20,BayesianGMM,4.80800913470894,0.0046105032435944,4.81,20,0.408,0.406,1.019,0.0134,0.0124,0.00022,1.859
500,20,20,BayesianGMM,4.80828689129595,0.00331178536727726,4.81,20,0.599,0.753,1.964,0.0142,0.0133,0.00023,3.344
5000,12,12,KMeans,4.78204545454546,0.0073692269245715,4.78,20,0.168,0.033,0.057,0.0142,0.0138,0.00024,0.286
1000,12,12,KMeans,4.78557608695652,0.00375903989435744,4.79,20,0.164,0.465,1.03,0.0141,0.0133,0.00028,1.687
500,12,12,KMeans,4.78251282051282,0.00309487873268715,4.78,20,0.171,0.718,1.688,0.0146,0.0132,0.00024,2.605
250,12,12,KMeans,4.78068391866913,0.00226581629860437,4.78,20,0.173,0.758,1.781,0.0142,0.0135,0.00024,2.74
100,12,12,KMeans,4.78383584244174,0.00115110062192124,4.78,20,0.192,0.82,1.938,0.0137,0.0133,0.00023,2.977
50,12,12,KMeans,4.78323055723021,0.000879715201192827,4.78,20,0.192,0.884,2.113,0.0142,0.0133,0.00023,3.216
10,12,12,KMeans,4.78250334150958,0.000645317905960067,4.78,20,0.239,1.243,3.086,0.0145,0.0135,0.00023,4.596
1,12,12,KMeans,4.78267123447967,0.000531903676087764,4.78,20,0.659,4.443,11.908,0.0136,0.0128,0.00023,17.037
5000,12,12,Agglomerative,4.78555555555556,0.00855271631956231,4.81,20,0.055,0.033,0.062,0.0144,0.014,0.00025,0.178
1000,12,12,Agglomerative,4.79347826086957,0.0107446620348911,4.79,20,0.089,0.44,1.127,0.0146,0.0137,0.00024,1.684
500,12,12,Agglomerative,4.7904384017758,0.00380371537179297,4.79,20,0.193,0.735,1.805,0.0139,0.0133,0.00023,2.761
250,12,12,Agglomerative,4.78679465776294,0.00345972519498679,4.79,20,0.682,0.767,1.923,0.014,0.0139,0.00023,3.4
100,12,12,Agglomerative,4.76983675735702,0.00118927398439563,4.77,20,4.523,0.849,2.137,0.0146,0.0136,0.00023,7.538
50,12,12,Agglomerative,4.80746710951195,0.00121419508781109,4.81,20,18.825,0.888,2.17,0.0138,0.0133,0.00027,21.911
5000,12,12,Spectral,4.73,0.00670820393249982,4.73,20,0.186,0.047,0.087,0.0141,0.014,0.00022,0.348
1000,12,12,Spectral,4.75127020785219,0.00312921041778231,4.75,20,0.299,0.432,1.071,0.0135,0.0133,0.00023,1.83
500,12,12,Spectral,4.743873902133,0.00149954081238433,4.74,20,0.621,0.753,1.983,0.0141,0.0137,0.00024,3.384
250,12,12,Spectral,4.73966301843318,0.00179339918016974,4.74,20,2.492,0.765,1.954,0.0137,0.0149,0.00023,5.241
100,12,12,Spectral,4.7423255925443,0.000864126977881087,4.74,20,25.567,0.852,2.257,0.014,0.0136,0.00024,28.703
50,12,12,Spectral,4.73723694235165,0.000747952661002366,4.74,20,157.543,0.864,2.307,0.0138,0.0132,0.00023,160.741
5000,12,12,GaussianMixture,4.81658047274959,0.00568861127078416,4.79,20,0.168,0.032,0.085,0.0151,0.0142,0.00024,0.314
1000,12,12,GaussianMixture,4.81815478896803,0.00444774023184849,4.82,20,0.165,0.451,1.152,0.0142,0.0136,0.00023,1.796
500,12,12,GaussianMixture,4.81717711379826,0.00308814923963672,4.82,20,0.197,0.755,2.011,0.0145,0.0137,0.00023,2.992
5000,12,12,MeanShift,,,,20,0.684,0.031,0.035,0.0147,0.0155,0.00014,0.781
1000,12,12,MeanShift,,,,20,5.063,0.461,0.6,0.0137,0.0148,0.00012,6.154
500,12,12,MeanShift,,,,20,13.034,0.731,1.015,0.0138,0.013,0.00012,14.807
250,12,12,MeanShift,,,,20,35.856,0.785,1.144,0.0145,0.0139,0.00012,37.813
5000,12,12,Birch,4.78555555555556,0.00855271631956231,4.81,20,0.11,0.031,0.061,0.0143,0.0137,0.00025,0.23
1000,12,12,Birch,4.79347826086957,0.0107446620348911,4.79,20,0.184,0.436,1.121,0.0145,0.0136,0.00024,1.769
500,12,12,Birch,4.7904384017758,0.00380371537179297,4.79,20,0.46,0.772,1.893,0.0141,0.0138,0.00024,3.153
250,12,12,Birch,4.78679465776294,0.00345972519498679,4.79,20,1.369,0.796,1.951,0.0143,0.014,0.00023,4.144
100,12,12,Birch,4.76983675735702,0.00118927398439563,4.77,20,8.595,0.82,2.13,0.0138,0.0151,0.00023,11.574
50,12,12,Birch,4.80746710951195,0.00121419508781109,4.81,20,35.443,0.87,2.13,0.0142,0.0133,0.00023,38.47
5000,12,12,BayesianGMM,4.81463792799633,0.00584346960504424,4.84,20,0.264,0.032,0.06,0.014,0.0132,0.00023,0.384
1000,12,12,BayesianGMM,4.81952266198313,0.00470835542343265,4.82,20,0.645,0.436,1.133,0.014,0.0132,0.00022,2.241
500,12,12,BayesianGMM,4.81792237578692,0.0031355064661948,4.82,20,0.739,0.729,1.977,0.014,0.0133,0.00023,3.472
