feature_set,n_features,model,algorithm,n_neighbors,calibration,K0,chi,chi_err
30,30,KNN,auto,5,uncalibrated,4.83,9.411764705880631e-05,9.411764705882358e-05
30,30,KNN,auto,5,uncalibrated,4.84,7.421150278293132e-05,7.421150278293133e-05
30,30,KNN,auto,5,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,7,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,7,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,7,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,7,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,7,uncalibrated,4.74,0.009068959248496452,0.007560395695100205
30,30,KNN,auto,7,uncalibrated,4.75,0.044608697606246146,0.009245802966648665
30,30,KNN,auto,7,uncalibrated,4.76,0.12859713659162025,0.012065724013820915
30,30,KNN,auto,7,uncalibrated,4.77,0.19008195842803688,0.006813860496203014
30,30,KNN,auto,7,uncalibrated,4.78,0.15812730210104992,0.009309494464113874
30,30,KNN,auto,7,uncalibrated,4.79,0.06094425154757254,0.008847281034261967
30,30,KNN,auto,7,uncalibrated,4.81,0.00388852989502868,0.0037657600550091066
30,30,KNN,auto,7,uncalibrated,4.82,0.0005843395159578251,0.0005289732020377464
30,30,KNN,auto,7,uncalibrated,4.83,4.801920768307441e-05,4.801920768307324e-05
30,30,KNN,auto,7,uncalibrated,4.84,0.00015145204649577695,0.00015145204649577828
30,30,KNN,auto,7,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,7,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,7,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,7,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,7,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,7,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.74,0.009371565160308648,0.007700920590651429
30,30,KNN,auto,9,uncalibrated,4.75,0.047122614091172146,0.009451664625049913
30,30,KNN,auto,9,uncalibrated,4.76,0.12697502216513315,0.011150278836479227
30,30,KNN,auto,9,uncalibrated,4.77,0.18746878092555946,0.00721314827595021
30,30,KNN,auto,9,uncalibrated,4.78,0.15785755039122168,0.010828296916163008
30,30,KNN,auto,9,uncalibrated,4.79,0.05968649669082243,0.008570530979526259
30,30,KNN,auto,9,uncalibrated,4.81,0.004230896141631392,0.003997514326743267
30,30,KNN,auto,9,uncalibrated,4.82,0.0005293550143508851,0.0004988014249517348
30,30,KNN,auto,9,uncalibrated,4.83,5.795898294906975e-05,4.064082206328057e-05
30,30,KNN,auto,9,uncalibrated,4.84,9.16191392381862e-05,9.161913923818686e-05
30,30,KNN,auto,9,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.74,0.008580044132578905,0.007150531426681515
30,30,KNN,auto,11,uncalibrated,4.75,0.04818589283285742,0.009592365766449066
30,30,KNN,auto,11,uncalibrated,4.76,0.12595987501043457,0.010722163865129654
30,30,KNN,auto,11,uncalibrated,4.77,0.1855599257715297,0.006353821050191888
30,30,KNN,auto,11,uncalibrated,4.78,0.15644607037538652,0.01031674677547631
30,30,KNN,auto,11,uncalibrated,4.79,0.05714373517348394,0.008573860783488247
30,30,KNN,auto,11,uncalibrated,4.81,0.004296922794268126,0.004113075525408914
30,30,KNN,auto,11,uncalibrated,4.82,0.00035436162117702863,0.00033390839190983906
30,30,KNN,auto,11,uncalibrated,4.83,9.704377201834746e-05,7.972921280357075e-05
30,30,KNN,auto,11,uncalibrated,4.84,0.00013799659608396323,0.00013799659608396323
30,30,KNN,auto,11,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.74,0.008664052866046625,0.007077051984973806
30,30,KNN,auto,13,uncalibrated,4.75,0.048366946138738084,0.009674152639030785
30,30,KNN,auto,13,uncalibrated,4.76,0.1259108387587821,0.010893730320502363
30,30,KNN,auto,13,uncalibrated,4.77,0.18425231836675626,0.005839422561830579
