feature_set,n_features,model,algorithm,n_neighbors,calibration,K0,mean,mean_err
30,30,KNN,auto,11,uncalibrated,4.84,0.9994940124810255,0.0005059875189745307
30,30,KNN,auto,11,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,11,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,11,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,11,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,11,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,11,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,13,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.74,0.013069454817027636,0.008588498879761016
30,30,KNN,auto,13,uncalibrated,4.75,0.0697674418604663,0.012328057639019839
30,30,KNN,auto,13,uncalibrated,4.76,0.21642178046672428,0.022933560040013366
30,30,KNN,auto,13,uncalibrated,4.77,0.4840777502067825,0.01997305096906816
30,30,KNN,auto,13,uncalibrated,4.78,0.716185897435897,0.024025459446631522
30,30,KNN,auto,13,uncalibrated,4.79,0.9045092838196268,0.012163882383908139
30,30,KNN,auto,13,uncalibrated,4.81,0.9933940105695832,0.006018790369935356
30,30,KNN,auto,13,uncalibrated,4.82,0.9987389659520807,0.0010613182995336877
30,30,KNN,auto,13,uncalibrated,4.83,0.9994570135747072,0.0004027863458927206
30,30,KNN,auto,13,uncalibrated,4.84,0.99957185671468,0.0004281432852862678
30,30,KNN,auto,13,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,13,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,13,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,13,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,13,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,13,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,15,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.74,0.012944983818770222,0.007443365695792879
30,30,KNN,auto,15,uncalibrated,4.75,0.07131782945736434,0.012453443205238899
30,30,KNN,auto,15,uncalibrated,4.76,0.21857677902621725,0.02383553085134682
30,30,KNN,auto,15,uncalibrated,4.77,0.4862007168458884,0.01995336307062776
30,30,KNN,auto,15,uncalibrated,4.78,0.7176388888888889,0.024152693917176022
30,30,KNN,auto,15,uncalibrated,4.79,0.9042596348884363,0.012470292469631787
30,30,KNN,auto,15,uncalibrated,4.81,0.9932569974554709,0.005979643765903431
30,30,KNN,auto,15,uncalibrated,4.82,0.9987704918032783,0.0010552486544860955
30,30,KNN,auto,15,uncalibrated,4.83,0.9993725490196359,0.0003804027451431383
30,30,KNN,auto,15,uncalibrated,4.84,0.9995052566481138,0.0004947433518861579
30,30,KNN,auto,15,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,15,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,15,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,15,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,15,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,15,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,17,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,17,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,17,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,17,uncalibrated,4.73,0.0003961180431768614,0.00027866501999819206
30,30,KNN,auto,17,uncalibrated,4.74,0.012707024557395776,0.007852655625356942
30,30,KNN,auto,17,uncalibrated,4.75,0.07233242134063046,0.012429931126506482
30,30,KNN,auto,17,uncalibrated,4.76,0.2202247191011236,0.023922323011535757
30,30,KNN,auto,17,uncalibrated,4.77,0.4871916508539002,0.019943854847796864
30,30,KNN,auto,17,uncalibrated,4.78,0.7174019607843133,0.023828353555517195
30,30,KNN,auto,17,uncalibrated,4.79,0.9058584894404027,0.012106905529581593
30,30,KNN,auto,17,uncalibrated,4.81,0.9932644813650653,0.0058374494836102575
30,30,KNN,auto,17,uncalibrated,4.82,0.9987945998071359,0.0010508435254437743
30,30,KNN,auto,17,uncalibrated,4.83,0.9994463667820256,0.00033564948100869835
30,30,KNN,auto,17,uncalibrated,4.84,0.9994543271854366,0.0005456728145803526
30,30,KNN,auto,17,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,17,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,17,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,17,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,17,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,17,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,19,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,19,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,19,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,19,uncalibrated,4.73,0.0003544214070529807,0.00024933185999838245
30,30,KNN,auto,19,uncalibrated,4.74,0.013285641287685229,0.007920286152273888
30,30,KNN,auto,19,uncalibrated,4.75,0.07298041615667192,0.01243163999878293
30,30,KNN,auto,19,uncalibrated,4.76,0.2221170904790065,0.02377600445962543
30,30,KNN,auto,19,uncalibrated,4.77,0.490096208262592,0.019967359401953648
30,30,KNN,auto,19,uncalibrated,4.78,0.7180921052631579,0.023789816941709153
30,30,KNN,auto,19,uncalibrated,4.79,0.9060531653677788,0.01215322415931194
30,30,KNN,auto,19,uncalibrated,4.81,0.9931699477701889,0.006026516673362736
30,30,KNN,auto,19,uncalibrated,4.82,0.9986709197235623,0.0010769082488407767
30,30,KNN,auto,19,uncalibrated,4.83,0.9995046439628763,0.00030031795669205796
30,30,KNN,auto,19,uncalibrated,4.84,0.9994141197148717,0.0005858802851283133
30,30,KNN,auto,19,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,19,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,19,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,19,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,19,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,19,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,21,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,21,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,21,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,21,uncalibrated,4.73,0.0004884004884004884,0.0002775372750709372
30,30,KNN,auto,21,uncalibrated,4.74,0.013291724456773,0.0079750346740638
30,30,KNN,auto,21,uncalibrated,4.75,0.07378183831672558,0.01250648504802699
30,30,KNN,auto,21,uncalibrated,4.76,0.22308022308022304,0.024529344573171713
30,30,KNN,auto,21,uncalibrated,4.77,0.49180747567844346,0.01991430476118095
30,30,KNN,auto,21,uncalibrated,4.78,0.7188492063492063,0.023932936329189254
30,30,KNN,auto,21,uncalibrated,4.79,0.9076596155703661,0.01214386121966337
30,30,KNN,auto,21,uncalibrated,4.81,0.9933660487095601,0.005725190839694694
30,30,KNN,auto,21,uncalibrated,4.82,0.9986772486772487,0.001092968715769057
30,30,KNN,auto,21,uncalibrated,4.83,0.9995518207283193,0.0002717162465310031
30,30,KNN,auto,21,uncalibrated,4.84,0.9993815708101477,0.0006184291898577788
30,30,KNN,auto,21,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,21,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,21,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,21,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,21,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,21,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,23,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,23,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,23,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,23,uncalibrated,4.73,0.0004459308807134901,0.00025340359897781225
30,30,KNN,auto,23,uncalibrated,4.74,0.01350780920219502,0.008231321232587588
30,30,KNN,auto,23,uncalibrated,4.75,0.07457027300303336,0.012549585372946705
30,30,KNN,auto,23,uncalibrated,4.76,0.2233512457254519,0.02446718558201717
30,30,KNN,auto,23,uncalibrated,4.77,0.49345488546049554,0.020005897516818447
30,30,KNN,auto,23,uncalibrated,4.78,0.7201992753623189,0.024180258854269367
30,30,KNN,auto,23,uncalibrated,4.79,0.9082811535408785,0.012182162488751003
30,30,KNN,auto,23,uncalibrated,4.81,0.9933620975771654,0.00564221705940926
30,30,KNN,auto,23,uncalibrated,4.82,0.9986824769433574,0.0011065288929328096
30,30,KNN,auto,23,uncalibrated,4.83,0.9995907928388934,0.0002480887468325656
30,30,KNN,auto,23,uncalibrated,4.84,0.9994353472614341,0.0005646527385658785
30,30,KNN,auto,23,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,23,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,23,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,23,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,23,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,23,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,25,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,25,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,25,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,25,uncalibrated,4.73,0.00041025641025641094,0.0002331313110595873
30,30,KNN,auto,25,uncalibrated,4.74,0.013786407766990293,0.00854368932038835
30,30,KNN,auto,25,uncalibrated,4.75,0.0758139534883709,0.012560621936337675
30,30,KNN,auto,25,uncalibrated,4.76,0.22513513513513506,0.0244381720117996
30,30,KNN,auto,25,uncalibrated,4.77,0.494731182795699,0.020099443865651972
30,30,KNN,auto,25,uncalibrated,4.78,0.7203333333333333,0.024471071356467696
30,30,KNN,auto,25,uncalibrated,4.79,0.9091277890466568,0.012372526831622583
30,30,KNN,auto,25,uncalibrated,4.81,0.9935877862595419,0.005496183206106842
30,30,KNN,auto,25,uncalibrated,4.82,0.9985858585858587,0.0012183752627884514
30,30,KNN,auto,25,uncalibrated,4.83,0.9996235294117648,0.00022824164708568927
30,30,KNN,auto,25,uncalibrated,4.84,0.9994805194805142,0.0005194805194804821
30,30,KNN,auto,25,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,25,uncalibrated,4.86,1.0,0.0
