transition,folder,tag,model,calibration,param,k4,mean,mean_err,mean_B,ess_frac
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1155,1.2196280000000002,0.00019830597140485558,0.00019148674604525356,43.0,0.3566641468994175
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1154,1.2193514,0.00018291161225676383,0.00017694181698618239,43.0,0.3993315095691237
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1153,1.2190748,0.00016875169667863256,0.00016353101320850326,43.0,0.4435558099778961
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1152,1.2187982,0.0001557325353964086,0.00015117210433707184,43.0,0.48872774986112516
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1151,1.2185216,0.00014376399370900035,0.00013978527958333025,43.0,0.5341678001230642
AB,a_b,LR,Logistic Regression,uncalibrated,-0.115,1.218245,0.00013276018580593335,0.00012929389275982242,43.0,0.5791451210461454
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1149,1.2179684,0.0001226399789961409,0.00011962503290241765,43.0,0.6228973159002527
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1148,1.2176918,0.00011332733034165185,0.00011070993710332327,43.0,0.6646501122242701
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1147,1.2174152,0.00010475147811589903,0.00010248426326335604,43.0,0.7036364947388867
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1146,1.2171386,9.684700976199457e-05,9.488824077451486e-05,43.0,0.7391151767717404
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1145,1.2168619999999999,8.984963521336135e-05,8.7872400881483e-05,22.0,0.7703885135421094
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1144,1.2165854,8.299253399760185e-05,8.138209790366387e-05,22.0,0.7968200021069045
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1143,1.2163088,7.666073503157398e-05,7.536843176478786e-05,22.0,0.8178513952174317
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1142,1.2160322,7.080674368005971e-05,6.978974500693805e-05,22.0,0.8330192258603563
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1141,1.2157556,6.462732249917042e-05,6.461524274026658e-05,3.0,0.8419702570037717
AB,a_b,LR,Logistic Regression,uncalibrated,-0.114,1.215479,5.949251923346932e-05,5.994586335145961e-05,3.0,0.8444751015136407
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1139,1.2155092,5.949885319221047e-05,5.9899933788694254e-05,3.0,0.8586535740213107
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1138,1.2155394,5.950153622697182e-05,5.985036754055431e-05,3.0,0.8722963147488424
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1137,1.2155696,5.950068580546354e-05,5.979727746230097e-05,3.0,0.8853751504618009
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1136,1.2155998,5.949641745434795e-05,5.9740774817262996e-05,3.0,0.897862837087599
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1135,1.21563,5.948884474810888e-05,5.968096923461744e-05,3.0,0.9097331524028984
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1134,1.2156602,5.94780792994497e-05,5.961796866966047e-05,3.0,0.920960987896569
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1133,1.2156904,5.9464230750994604e-05,5.955187936642986e-05,3.0,0.931522439225279
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1132,1.2157206,5.94474067679637e-05,5.948280582243577e-05,3.0,0.9413948946753055
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1131,1.2157508,5.991001032771024e-05,5.9418836494686804e-05,22.0,0.9505571210458535
AB,a_b,LR,Logistic Regression,uncalibrated,-0.113,1.215781,5.984522340869365e-05,5.9362139884202656e-05,22.0,0.9589893463752973
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1129,1.2158112,5.977798105026128e-05,5.930275064103324e-05,22.0,0.9666733389408197
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1128,1.2158414,5.970837907252611e-05,5.924076751376662e-05,22.0,0.9735924819752526
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1127,1.2158716,5.963651134936228e-05,5.91762872980711e-05,22.0,0.9797318435604804
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1126,1.2159018,5.956246979682465e-05,5.910940481623096e-05,22.0,0.9850782411756823
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1125,1.215932,5.948634436126448e-05,5.904021289715779e-05,22.0,0.9896203004005345
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1124,1.2159622,5.9408223006919617e-05,5.896880235663049e-05,22.0,0.9933485072978572
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1123,1.2159924,5.932819170294655e-05,5.8895261977706785e-05,22.0,0.9962552540281762
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1122,1.2160226,5.924633440975941e-05,5.8819678491150776e-05,22.0,0.998334877279482
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1121,1.2160528,5.916273306456156e-05,5.8742136555734935e-05,22.0,0.9995836891299908
AB,a_b,LR,Logistic Regression,uncalibrated,-0.112,1.216083,5.907746756607602e-05,5.8662718738399365e-05,22.0,1.0
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1119,1.21607565,5.843860008210125e-05,5.804999119291166e-05,22.0,0.9996298895422207
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1118,1.2160683,5.780693804892299e-05,5.7443783667620324e-05,22.0,0.9985215383513977
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1117,1.21606095,5.718253537135447e-05,5.684416507976009e-05,22.0,0.9966791561430067
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1116,1.2160536,5.656544068106543e-05,5.6251198937278035e-05,22.0,0.9941085953167502
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1115,1.21604625,5.5955697384026404e-05,5.56649433789744e-05,22.0,0.9908173322857684
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1114,1.2160389,5.5353343707320475e-05,5.5085451214792735e-05,22.0,0.9868144412646856
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1113,1.21603155,5.4758412745591435e-05,5.4512769966461475e-05,22.0,0.9821105605754955
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1112,1.2160241999999999,5.417093250744285e-05,5.394694190874464e-05,22.0,0.9767178515904109
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1111,1.21601685,5.359092596208182e-05,5.3388004111548956e-05,22.0,0.9706499504922501
AB,a_b,LR,Logistic Regression,uncalibrated,-0.111,1.2160095,5.301841108644196e-05,5.283598848306765e-05,22.0,0.963921913094941
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1109,1.21600215,5.2453400913101925e-05,5.229092181423345e-05,22.0,0.9565501530286655
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1108,1.2159948,5.189590357920241e-05,5.175282582463807e-05,22.0,0.9485523736549935
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1107,1.2159874499999999,5.134592237659987e-05,5.122171721012513e-05,22.0,0.93994749413641
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1106,1.2159801,5.080345580349242e-05,5.069760769224707e-05,22.0,0.930755570140848
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1105,1.21597275,5.02684976176723e-05,5.018050406971147e-05,22.0,0.92099770971439
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1104,1.2159654,4.974103689163938e-05,4.9670408272021344e-05,22.0,0.9106959849032665
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1103,1.21595805,4.9221058069702227e-05,4.916731741540705e-05,22.0,0.8998733397488355
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1102,1.2159506999999998,4.870854102722839e-05,4.8671223861186e-05,22.0,0.8885534953156216
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1101,1.2159433499999999,4.808305686297743e-05,4.818386936926302e-05,5.0,0.8767608524419732
AB,a_b,LR,Logistic Regression,uncalibrated,-0.11,1.215936,4.7580403341874143e-05,4.7706453498457984e-05,5.0,0.8645203929249923
