transition,folder,tag,model,calibration,param,k4,chi,chi_err,chi_B,variance,variance_err,variance_B,ess_frac
AB,a_b,LR,Logistic Regression,uncalibrated,-0.127,1.2239935,0.041984639721708614,0.020889624682215127,50.0,4.310105192062388e-06,7.125200658824122e-06,3.0,0.0006109631150809289
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1269,1.22395345,0.04221657642273679,0.020999812008474877,50.0,4.465245008554907e-06,7.197444507433742e-06,3.0,0.0006355856110814512
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1268,1.2239134,0.04244857181604604,0.021110040150037646,50.0,4.621551583973894e-06,7.269737136323298e-06,3.0,0.0006615466564092537
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1267,1.2238733499999999,0.04268059888800031,0.021220297097147088,50.0,4.7789104396941684e-06,7.342040909436807e-06,3.0,0.0006889306646812441
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1266,1.2238333,0.04291263025441737,0.021330570685328114,50.0,4.937202645532619e-06,7.414316245144742e-06,3.0,0.0007178279227219329
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1265,1.22379325,0.04314463815984836,0.021440848593933953,50.0,5.09630492947553e-06,7.486521599411551e-06,3.0,0.0007483350262550877
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1264,1.2237532,0.04337659447692928,0.021551118344620503,50.0,5.256089803063622e-06,7.558613455589794e-06,3.0,0.0007805553490658598
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1263,1.22371315,0.043608470705787064,0.02166136729974898,50.0,5.41642570258646e-06,7.630546321234437e-06,3.0,0.0008145995482131494
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1262,1.2236730999999998,0.043840237973545707,0.021771582660730548,50.0,5.577177146184411e-06,7.702272732310706e-06,3.0,0.0008505861080638258
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1261,1.2236330499999999,0.044071867033948664,0.021881751466325507,50.0,5.738204906889066e-06,7.773743265140205e-06,3.0,0.0008886419261238517
AB,a_b,LR,Logistic Regression,uncalibrated,-0.126,1.223593,0.04430332826711457,0.02199186059090508,50.0,5.899366201553222e-06,7.84490655638954e-06,3.0,0.0009289029438568947
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1259,1.2235603499999999,0.04454458316337916,0.02210619814222386,50.0,6.07391694581898e-06,7.925204901469565e-06,3.0,0.0009724064627298828
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1258,1.2235277,0.044785473014973154,0.02222038085847652,50.0,6.2487508900202955e-06,8.005418607461563e-06,3.0,0.0010184403533636968
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1257,1.22349505,0.045025963300792116,0.022334393380684235,50.0,6.423718418204175e-06,8.085492421320712e-06,3.0,0.0010671679020833097
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1256,1.2234623999999998,0.04526601913934469,0.022448220186205445,50.0,6.598666899716181e-06,8.165368882717045e-06,3.0,0.001118763546561006
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1255,1.22342975,0.045505605290954376,0.02256184558772874,50.0,6.7734409237779605e-06,8.244988375063589e-06,3.0,0.0011734136514048943
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1254,1.2233971,0.045744686160232716,0.02267525373232861,50.0,7.006894648997312e-06,8.329111267048685e-06,5.0,0.001231317336399284
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1253,1.2233644499999998,0.04598322579886493,0.02278842860060373,50.0,7.1758675409518556e-06,8.418523437846627e-06,5.0,0.0012926873606642802
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1252,1.2233318,0.04622118790871928,0.022901354005914174,50.0,7.34419605809021e-06,8.507545304318798e-06,5.0,0.0013577510661599197
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1251,1.22329915,0.0464585358453278,0.023014013593743537,50.0,7.5117223761734066e-06,8.59609521266758e-06,5.0,0.001426751384121211
AB,a_b,LR,Logistic Regression,uncalibrated,-0.125,1.2232664999999998,0.04669523262176544,0.023126390841203073,50.0,7.678287327836569e-06,8.684089467296786e-06,5.0,0.0014999479081707393
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1249,1.22323385,0.046931240912958166,0.023238469056705357,50.0,7.843730683955565e-06,8.771442480540943e-06,5.0,0.0015776180380167929
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1248,1.2232011999999999,0.0471665230604605,0.023350231379827304,50.0,8.007891442771962e-06,8.858066932099605e-06,5.0,0.0016600581978041685
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1247,1.22316855,0.04740104107773714,0.023461660781386687,50.0,8.170608126030459e-06,8.943873937649608e-06,5.0,0.0017475851333428377
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1246,1.2231359,0.047634756655983435,0.02357274006376285,50.0,8.331719081323381e-06,9.028773226047959e-06,5.0,0.0018405372925909488
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1245,1.2231032499999999,0.047867631170524616,0.023683451861480326,50.0,8.491062789820051e-06,9.112673324516285e-06,5.0,0.001939276293916947
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1244,1.2230706,0.04809962568783724,0.023793778642084203,50.0,8.648478178498131e-06,9.19548175113975e-06,5.0,0.0020441884868033686
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1243,1.22303795,0.04833070097321695,0.023903702707335897,50.0,8.803804935973353e-06,9.277105213990523e-06,5.0,0.002155686609784154
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1242,1.2230052999999999,0.04856081749915809,0.02401320619475361,50.0,8.95688383099367e-06,9.357449816156725e-06,5.0,0.002274211550523196
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1241,1.22297265,0.04878993545446162,0.02412227107952713,50.0,9.107557032623025e-06,9.436421265919798e-06,5.0,0.0024002342130419446
AB,a_b,LR,Logistic Regression,uncalibrated,-0.124,1.22294,0.04901801475412392,0.02423087917683094,50.0,9.255668431128077e-06,9.513925091311936e-06,5.0,0.0025342574971858067
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1239,1.22289565,0.049231192257170917,0.02433318016124711,50.0,9.373980375478109e-06,9.567268849993697e-06,5.0,0.002676310991558983
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1238,1.2228512999999999,0.04944356625609142,0.024435142049338835,50.0,9.488761269751957e-06,9.618456531761608e-06,5.0,0.002827832395705157
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1237,1.2228069499999998,0.04965510229942999,0.024536749081716856,50.0,9.599872855926989e-06,9.667405531802865e-06,5.0,0.002989509529036303
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1236,1.2227626,0.04986576570021854,0.0246379853416833,50.0,9.707181331652082e-06,9.714034969555169e-06,5.0,0.0031620821869292456
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1235,1.22271825,0.05007552155255873,0.0247388347607933,50.0,9.810557707104603e-06,9.758265923478381e-06,5.0,0.0033463460459590404
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1234,1.2226739,0.0502843347496542,0.024839281125196656,50.0,9.909878152005671e-06,9.800021663650809e-06,5.0,0.003543156842537096
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1233,1.22262955,0.05049217000334208,0.024939308082802904,50.0,1.0005024331203664e-05,9.839227881164187e-06,5.0,0.0037534348402690904
